batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
"['320', '10', '3', '10', '90', '1']",dg1.tpf,SAA,320,10,3,10,90,1,322,769,8,3,1,2.1504702194357366,3,1,2.1786833855799372,0.1,87.5776397515528,170,85,82177,364.1830949905615,0.38396382331848145
"['320', '10', '3', '10', '90', '1']",dg1.tpf,HS,320,10,3,10,90,1,322,769,8,3,1,2.1504702194357366,3,1,2.1786833855799372,0.1,87.5776397515528,170,85,79023,364.1830949905615,0.3281242847442627
"['320', '10', '3', '10', '90', '1']",dg10.tpf,SAA,320,10,3,10,90,1,322,765,9,3,1,2.134796238244514,3,1,2.156739811912226,0.1,92.54658385093167,134,67,91114,251.68137905690386,0.48969244956970215
"['320', '10', '3', '10', '90', '1']",dg10.tpf,HS,320,10,3,10,90,1,322,765,9,3,1,2.134796238244514,3,1,2.156739811912226,0.1,92.54658385093167,134,67,89661,251.68137905690386,0.3211369514465332
"['320', '10', '3', '10', '90', '1']",dg11.tpf,SAA,320,10,3,10,90,1,322,784,10,3,1,2.1818181818181817,3,1,2.197492163009404,0.1,86.95652173913044,128,64,85246,372.7398663770414,0.3380599021911621
"['320', '10', '3', '10', '90', '1']",dg11.tpf,HS,320,10,3,10,90,1,322,784,10,3,1,2.1818181818181817,3,1,2.197492163009404,0.1,86.95652173913044,128,64,83184,372.7398663770414,0.2992081642150879
"['320', '10', '3', '10', '90', '1']",dg12.tpf,SAA,320,10,3,10,90,1,322,781,9,3,1,2.200626959247649,3,1,2.200626959247649,0.1,91.92546583850931,154,77,95450,120.69698980948337,0.3490324020385742
"['320', '10', '3', '10', '90', '1']",dg12.tpf,HS,320,10,3,10,90,1,322,781,9,3,1,2.200626959247649,3,1,2.200626959247649,0.1,91.92546583850931,154,77,93972,120.69698980948337,0.3909916877746582
"['320', '10', '3', '10', '90', '1']",dg13.tpf,SAA,320,10,3,10,90,1,322,766,9,3,1,2.1442006269592477,3,1,2.147335423197492,0.1,87.26708074534162,138,69,80732,285.08602905990494,0.32322168350219727
"['320', '10', '3', '10', '90', '1']",dg13.tpf,HS,320,10,3,10,90,1,322,766,9,3,1,2.1442006269592477,3,1,2.147335423197492,0.1,87.26708074534162,138,69,78331,285.08602905990494,0.28261804580688477
"['320', '10', '3', '10', '90', '1']",dg14.tpf,SAA,320,10,3,10,90,1,322,778,9,3,1,2.1786833855799372,3,1,2.1849529780564265,0.1,86.95652173913044,124,62,83288,235.76816826170605,0.38042712211608887
