batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,1.tpf,SAA,118,60,2,18.0,32.0,2.0,118,215,10,2,1,1.5826086956521739,2,1,1.5826086956521739,0.18,33.89830508474576,210,70,12030,370.4810943448519,0.04487872123718262
Random,1.tpf,HS,118,60,2,18.0,32.0,2.0,118,215,10,2,1,1.5826086956521739,2,1,1.5826086956521739,0.18,33.89830508474576,210,70,2474,370.4810943448519,0.01695394515991211
Random,10.tpf,SAA,187,163,3,5.0,79.0,1.0,187,445,9,3,1,2.2010869565217392,3,1,2.222826086956522,0.05,81.81818181818183,176,88,36343,424.68862195831923,0.15857648849487305
Random,10.tpf,HS,187,163,3,5.0,79.0,1.0,187,445,9,3,1,2.2010869565217392,3,1,2.222826086956522,0.05,81.81818181818183,176,88,22269,424.68862195831923,0.11469078063964844
Random,100.tpf,SAA,121,114,2,5.0,53.0,1.0,121,220,9,2,1,1.5847457627118644,2,1,1.6271186440677967,0.05,49.586776859504134,128,64,12045,934.0140786738272,0.06781792640686035
Random,100.tpf,HS,121,114,2,5.0,53.0,1.0,121,220,9,2,1,1.5847457627118644,2,1,1.6271186440677967,0.05,49.586776859504134,128,64,2408,934.0140786738272,0.014960527420043945
Random,1000.tpf,SAA,112,9,2,2.0,57.0,1.0,112,208,8,2,1,1.5504587155963303,2,1,1.5504587155963303,0.02,56.25,124,62,6056,1365.4777040540587,0.043883562088012695
Random,1000.tpf,HS,112,9,2,2.0,57.0,1.0,112,208,8,2,1,1.5504587155963303,2,1,1.5504587155963303,0.02,56.25,124,62,1663,1365.4777040540587,0.010969400405883789
Random,10000.tpf,SAA,163,91,2,13.0,17.0,2.0,163,294,11,2,1,1.5875,2,1,1.6,0.13,13.496932515337424,198,66,30283,813.3327770825399,0.17054224014282227
Random,10000.tpf,HS,163,91,2,13.0,17.0,2.0,163,294,11,2,1,1.5875,2,1,1.6,0.13,13.496932515337424,198,66,1616,813.3327770825399,0.0069806575775146484
Random,1001.tpf,SAA,29,20,3,10.0,11.0,1.0,29,56,8,3,1,1.7307692307692308,3,1,1.8461538461538463,0.1,17.24137931034483,90,45,374,256.64615137151713,0.001994609832763672
