batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,1.tpf,SAA,55,4,5,16.0,22.0,1.0,55,191,7,5,1,3.269230769230769,5,1,3.3653846153846154,0.16,18.181818181818183,74,37,2768,255.1079507000276,0.010970115661621094
Random,1.tpf,HS,55,4,5,16.0,22.0,1.0,55,191,7,5,1,3.269230769230769,5,1,3.3653846153846154,0.16,18.181818181818183,74,37,383,255.1079507000276,0.0019941329956054688
Random,1.tpf,RS,55,4,5,16.0,22.0,1.0,55,191,7,5,1,3.269230769230769,5,1,3.3653846153846154,0.16,18.181818181818183,74,37,655,255.1079507000276,0.0039920806884765625
Random,10.tpf,SAA,78,8,4,44.0,40.0,1.0,78,222,7,4,1,2.6933333333333334,4,1,2.7333333333333334,0.44,46.15384615384615,128,64,11138,14.303820701533295,0.05084109306335449
Random,10.tpf,HS,78,8,4,44.0,40.0,1.0,78,222,7,4,1,2.6933333333333334,4,1,2.7333333333333334,0.44,46.15384615384615,128,64,5024,14.303820701533295,0.016956090927124023
Random,10.tpf,RS,78,8,4,44.0,40.0,1.0,78,222,7,4,1,2.6933333333333334,4,1,2.7333333333333334,0.44,46.15384615384615,128,64,11565,14.303820701533295,0.05880570411682129
Random,100.tpf,SAA,19,8,4,19.0,81.0,2.0,19,49,6,4,1,2.5,4,1,2.6875,0.19,57.89473684210527,129,43,422,0.5268011644667727,0.002963542938232422
Random,100.tpf,HS,19,8,4,19.0,81.0,2.0,19,49,6,4,1,2.5,4,1,2.6875,0.19,57.89473684210527,129,43,245,0.5268011644667727,0.0009975433349609375
Random,100.tpf,RS,19,8,4,19.0,81.0,2.0,19,49,6,4,1,2.5,4,1,2.6875,0.19,57.89473684210527,129,42,493,0.5268011644667727,0.002016782760620117
Random,1000.tpf,SAA,39,8,5,39.0,15.0,2.0,39,133,8,5,1,3.3333333333333335,5,1,3.5,0.39,20.51282051282051,174,58,1600,4.366794086901086,0.008977890014648438
Random,1000.tpf,HS,39,8,5,39.0,15.0,2.0,39,133,8,5,1,3.3333333333333335,5,1,3.5,0.39,20.51282051282051,174,58,574,4.366794086901086,0.003027677536010742
Random,1000.tpf,RS,39,8,5,39.0,15.0,2.0,39,133,8,5,1,3.3333333333333335,5,1,3.5,0.39,20.51282051282051,174,58,3723,4.366794086901086,0.017987728118896484
Random,101.tpf,SAA,80,5,4,6.0,77.0,1.0,80,229,7,4,1,2.6493506493506493,4,1,2.6233766233766236,0.06,68.75,86,43,11972,149.33077560911642,0.05787968635559082
Random,101.tpf,HS,80,5,4,6.0,77.0,1.0,80,229,7,4,1,2.6493506493506493,4,1,2.6233766233766236,0.06,68.75,86,43,5202,149.33077560911642,0.024971485137939453
Random,101.tpf,RS,80,5,4,6.0,77.0,1.0,80,229,7,4,1,2.6493506493506493,4,1,2.6233766233766236,0.06,68.75,86,43,30867,149.27322581972092,0.18051648139953613
Random,103.tpf,SAA,81,4,2,37.0,97.0,2.0,81,151,8,2,1,1.5128205128205128,2,1,1.5384615384615385,0.37,95.06172839506173,108,36,6155,0.9074607433605588,0.01795172691345215
Random,103.tpf,HS,81,4,2,37.0,97.0,2.0,81,151,8,2,1,1.5128205128205128,2,1,1.5384615384615385,0.37,95.06172839506173,108,36,4855,0.9074607433605588,0.013967752456665039
Random,103.tpf,RS,81,4,2,37.0,97.0,2.0,81,151,8,2,1,1.5128205128205128,2,1,1.5384615384615385,0.37,95.06172839506173,108,36,10273,0.9074607433605588,0.04986715316772461
Random,104.tpf,SAA,64,4,2,33.0,8.0,2.0,64,115,7,2,1,1.5081967213114753,2,1,1.4754098360655739,0.33,9.375,108,36,2297,137.17196823877262,0.010932207107543945
Random,104.tpf,HS,64,4,2,33.0,8.0,2.0,64,115,7,2,1,1.5081967213114753,2,1,1.4754098360655739,0.33,9.375,108,36,305,137.17196823877262,0.001993894577026367
Random,104.tpf,RS,64,4,2,33.0,8.0,2.0,64,115,7,2,1,1.5081967213114753,2,1,1.4754098360655739,0.33,9.375,108,36,478,137.17196823877262,0.0019941329956054688
Random,106.tpf,SAA,53,5,3,45.0,42.0,2.0,53,120,7,3,1,2.06,3,1,2.12,0.45,54.71698113207547,126,42,3146,31.643248548284397,0.014994621276855469
Random,106.tpf,HS,53,5,3,45.0,42.0,2.0,53,120,7,3,1,2.06,3,1,2.12,0.45,54.71698113207547,126,42,1494,31.643248548284397,0.005984306335449219
Random,106.tpf,RS,53,5,3,45.0,42.0,2.0,53,120,7,3,1,2.06,3,1,2.12,0.45,54.71698113207547,126,42,13114,31.643248548284397,0.07679605484008789
Random,107.tpf,SAA,31,4,4,43.0,33.0,2.0,31,82,6,4,1,2.392857142857143,4,1,2.607142857142857,0.43,29.03225806451613,102,34,1607,18.73785875434672,0.008975744247436523
Random,107.tpf,HS,31,4,4,43.0,33.0,2.0,31,82,6,4,1,2.392857142857143,4,1,2.607142857142857,0.43,29.03225806451613,102,34,541,18.73785875434672,0.0029914379119873047
Random,107.tpf,RS,31,4,4,43.0,33.0,2.0,31,82,6,4,1,2.392857142857143,4,1,2.607142857142857,0.43,29.03225806451613,102,34,1603,18.73785875434672,0.007018089294433594
