batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,721.tpf,HS,39,7,1,12.0,75.0,2.0,39,53,9,1,1,1.0,1,1,1.0,0.12,76.92307692307693,96,32,508,52.684563761977614,0.005979776382446289
Random,721.tpf,RS,39,7,1,12.0,75.0,2.0,39,53,9,1,1,1.0,1,1,1.0,0.12,76.92307692307693,96,32,1181,52.684563761977614,0.020943403244018555
Random,722.tpf,SAA,43,6,1,34.0,4.0,1.5,43,58,9,1,1,1.0,1,1,1.0,0.34,4.651162790697675,80,32,1370,108.66731211971663,0.010970354080200195
Random,722.tpf,HS,43,6,1,34.0,4.0,1.5,43,58,9,1,1,1.0,1,1,1.0,0.34,4.651162790697675,80,32,140,108.66731211971663,0.000997304916381836
Random,722.tpf,RS,43,6,1,34.0,4.0,1.5,43,58,9,1,1,1.0,1,1,1.0,0.34,4.651162790697675,80,32,112,108.66731211971663,0.0019941329956054688
Random,723.tpf,SAA,54,9,1,18.0,31.0,2.0,54,70,11,1,1,1.0,1,1,1.0,0.18,12.962962962962962,120,40,1874,284.7343459085235,0.014959573745727539
Random,723.tpf,HS,54,9,1,18.0,31.0,2.0,54,70,11,1,1,1.0,1,1,1.0,0.18,12.962962962962962,120,40,242,284.7343459085235,0.002992391586303711
Random,723.tpf,RS,54,9,1,18.0,31.0,2.0,54,70,11,1,1,1.0,1,1,1.0,0.18,12.962962962962962,120,40,194,284.7343459085235,0.0019953250885009766
Random,724.tpf,SAA,23,8,3,32.0,10.0,2.0,23,49,6,3,1,1.9,3,1,2.0,0.32,4.3478260869565215,114,38,413,61.635820635883114,0.003988504409790039
Random,724.tpf,HS,23,8,3,32.0,10.0,2.0,23,49,6,3,1,1.9,3,1,2.0,0.32,4.3478260869565215,114,38,75,61.635820635883114,0.0
Random,724.tpf,RS,23,8,3,32.0,10.0,2.0,23,49,6,3,1,1.9,3,1,2.0,0.32,4.3478260869565215,114,38,35,61.635820635883114,0.0
Random,725.tpf,SAA,30,13,1,45.0,62.0,2.0,30,39,12,1,1,1.0,1,1,1.0,0.45,66.66666666666666,150,50,555,23.710696402347484,0.003988742828369141
Random,725.tpf,HS,30,13,1,45.0,62.0,2.0,30,39,12,1,1,1.0,1,1,1.0,0.45,66.66666666666666,150,50,287,23.710696402347484,0.0009970664978027344
Random,725.tpf,RS,30,13,1,45.0,62.0,2.0,30,39,12,1,1,1.0,1,1,1.0,0.45,66.66666666666666,150,50,854,23.710696402347484,0.006982088088989258
Random,726.tpf,SAA,82,5,1,34.0,15.0,1.0,82,113,9,1,1,1.0,1,1,1.0,0.34,18.29268292682927,70,35,3373,243.29872588811017,0.016954660415649414
Random,726.tpf,HS,82,5,1,34.0,15.0,1.0,82,113,9,1,1,1.0,1,1,1.0,0.34,18.29268292682927,70,35,456,243.29872588811017,0.001993894577026367
Random,726.tpf,RS,82,5,1,34.0,15.0,1.0,82,113,9,1,1,1.0,1,1,1.0,0.34,18.29268292682927,70,35,571,243.29872588811017,0.002991914749145508
Random,727.tpf,SAA,63,4,1,8.0,70.0,1.0,63,88,8,1,1,1.0,1,1,1.0,0.08,57.14285714285714,56,28,1831,398.37311105492176,0.010970354080200195
Random,727.tpf,HS,63,4,1,8.0,70.0,1.0,63,88,8,1,1,1.0,1,1,1.0,0.08,57.14285714285714,56,28,823,398.37311105492176,0.003988504409790039
Random,727.tpf,RS,63,4,1,8.0,70.0,1.0,63,88,8,1,1,1.0,1,1,1.0,0.08,57.14285714285714,56,28,1603,398.37311105492176,0.010970592498779297
Random,728.tpf,SAA,77,13,2,11.0,14.0,2.0,77,141,9,2,1,1.5810810810810811,2,1,1.5945945945945945,0.11,9.090909090909092,198,66,4871,605.6926070095681,0.019947290420532227
Random,728.tpf,HS,77,13,2,11.0,14.0,2.0,77,141,9,2,1,1.5810810810810811,2,1,1.5945945945945945,0.11,9.090909090909092,198,66,340,605.6926070095681,0.001995563507080078
Random,728.tpf,RS,77,13,2,11.0,14.0,2.0,77,141,9,2,1,1.5810810810810811,2,1,1.5945945945945945,0.11,9.090909090909092,198,66,309,605.6926070095681,0.0019958019256591797
Random,729.tpf,SAA,40,12,2,23.0,54.0,1.0,40,71,9,2,1,1.5675675675675675,2,1,1.5675675675675675,0.23,50.0,78,39,1488,52.353188121360716,0.004980325698852539
Random,729.tpf,HS,40,12,2,23.0,54.0,1.0,40,71,9,2,1,1.5675675675675675,2,1,1.5675675675675675,0.23,50.0,78,39,587,52.353188121360716,0.0019941329956054688
Random,729.tpf,RS,40,12,2,23.0,54.0,1.0,40,71,9,2,1,1.5675675675675675,2,1,1.5675675675675675,0.23,50.0,78,39,1677,52.353188121360716,0.0069806575775146484
Random,73.tpf,SAA,76,12,2,38.0,3.0,2.0,76,137,10,2,1,1.5890410958904109,2,1,1.6164383561643836,0.38,0.0,171,57,1146,78.12205475556921,0.002995014190673828
Random,73.tpf,HS,76,12,2,38.0,3.0,2.0,76,137,10,2,1,1.5890410958904109,2,1,1.6164383561643836,0.38,0.0,171,57,76,78.12205475556921,0.0
Random,73.tpf,RS,76,12,2,38.0,3.0,2.0,76,137,10,2,1,1.5890410958904109,2,1,1.6164383561643836,0.38,0.0,171,57,76,78.12205475556921,0.0
Random,730.tpf,SAA,69,5,1,0.0,52.0,1.5,69,97,9,1,1,1.0,1,1,1.0,0.0,55.072463768115945,85,34,2110,506.0,0.00698542594909668
Random,730.tpf,HS,69,5,1,0.0,52.0,1.5,69,97,9,1,1,1.0,1,1,1.0,0.0,55.072463768115945,85,34,647,506.0,0.003995418548583984
Random,730.tpf,RS,69,5,1,0.0,52.0,1.5,69,97,9,1,1,1.0,1,1,1.0,0.0,55.072463768115945,85,34,1511,506.0,0.007017850875854492
Random,731.tpf,SAA,39,5,2,0.0,41.0,2.0,39,70,7,2,1,1.5277777777777777,2,1,1.5277777777777777,0.0,46.15384615384615,111,37,1017,432.0,0.004985809326171875
Random,731.tpf,HS,39,5,2,0.0,41.0,2.0,39,70,7,2,1,1.5277777777777777,2,1,1.5277777777777777,0.0,46.15384615384615,111,37,303,432.0,0.0009963512420654297
Random,731.tpf,RS,39,5,2,0.0,41.0,2.0,39,70,7,2,1,1.5277777777777777,2,1,1.5277777777777777,0.0,46.15384615384615,111,37,802,432.0,0.003988742828369141
Random,732.tpf,SAA,62,9,3,42.0,28.0,1.5,62,148,8,3,1,2.2033898305084745,3,1,2.23728813559322,0.42,25.806451612903224,205,82,3826,76.70389669858163,0.013962507247924805
Random,732.tpf,HS,62,9,3,42.0,28.0,1.5,62,148,8,3,1,2.2033898305084745,3,1,2.23728813559322,0.42,25.806451612903224,205,82,1067,76.70389669858163,0.00598454475402832
Random,732.tpf,RS,62,9,3,42.0,28.0,1.5,62,148,8,3,1,2.2033898305084745,3,1,2.23728813559322,0.42,25.806451612903224,205,82,1058,76.70389669858163,0.006016731262207031
Random,733.tpf,SAA,25,12,1,45.0,64.0,2.0,25,33,8,1,1,1.0,1,1,1.0,0.45,64.0,102,34,382,5.7835365437847095,0.0020284652709960938
Random,733.tpf,HS,25,12,1,45.0,64.0,2.0,25,33,8,1,1,1.0,1,1,1.0,0.45,64.0,102,34,225,5.7835365437847095,0.0009944438934326172
Random,733.tpf,RS,25,12,1,45.0,64.0,2.0,25,33,8,1,1,1.0,1,1,1.0,0.45,64.0,102,34,403,5.7835365437847095,0.00199127197265625
Random,735.tpf,SAA,41,7,1,45.0,98.0,1.0,41,56,8,1,1,1.0,1,1,1.0,0.45,92.6829268292683,50,25,1243,-0.0003952683371143812,0.0039882659912109375
Random,735.tpf,HS,41,7,1,45.0,98.0,1.0,41,56,8,1,1,1.0,1,1,1.0,0.45,92.6829268292683,50,25,886,-0.0003952683371143812,0.0069811344146728516
Random,735.tpf,RS,41,7,1,45.0,98.0,1.0,41,56,8,1,1,1.0,1,1,1.0,0.45,92.6829268292683,50,25,1639,-0.0003952683371143812,0.014960050582885742
Random,736.tpf,SAA,79,12,1,33.0,13.0,2.0,79,103,12,1,1,1.0,1,1,1.0,0.33,15.18987341772152,135,45,3580,141.01849303261318,0.01595783233642578
Random,736.tpf,HS,79,12,1,33.0,13.0,2.0,79,103,12,1,1,1.0,1,1,1.0,0.33,15.18987341772152,135,45,433,141.01849303261318,0.0009975433349609375
Random,736.tpf,RS,79,12,1,33.0,13.0,2.0,79,103,12,1,1,1.0,1,1,1.0,0.33,15.18987341772152,135,45,699,141.01849303261318,0.004987478256225586
Random,738.tpf,SAA,27,10,3,1.0,97.0,1.5,27,61,7,3,1,2.0833333333333335,3,1,2.2083333333333335,0.01,92.5925925925926,120,48,893,-247.76822013795265,0.003989458084106445
Random,738.tpf,HS,27,10,3,1.0,97.0,1.5,27,61,7,3,1,2.0833333333333335,3,1,2.2083333333333335,0.01,92.5925925925926,120,48,768,-247.76822013795265,0.0019943714141845703
Random,738.tpf,RS,27,10,3,1.0,97.0,1.5,27,61,7,3,1,2.0833333333333335,3,1,2.2083333333333335,0.01,92.5925925925926,120,48,5858,-247.76822013795265,0.03590583801269531
Random,739.tpf,SAA,59,11,2,29.0,56.0,2.0,59,106,9,2,1,1.5535714285714286,2,1,1.5892857142857142,0.29,50.847457627118644,138,46,2933,63.322725740296875,0.010970354080200195
Random,739.tpf,HS,59,11,2,29.0,56.0,2.0,59,106,9,2,1,1.5535714285714286,2,1,1.5892857142857142,0.29,50.847457627118644,138,46,1233,63.322725740296875,0.003988504409790039
Random,739.tpf,RS,59,11,2,29.0,56.0,2.0,59,106,9,2,1,1.5535714285714286,2,1,1.5892857142857142,0.29,50.847457627118644,138,46,6230,63.322725740296875,0.03091740608215332
Random,74.tpf,SAA,42,3,2,30.0,21.0,1.0,42,77,7,2,1,1.4615384615384615,2,1,1.5384615384615385,0.3,21.428571428571427,54,27,1919,120.65948548502708,0.0069828033447265625
Random,74.tpf,HS,42,3,2,30.0,21.0,1.0,42,77,7,2,1,1.4615384615384615,2,1,1.5384615384615385,0.3,21.428571428571427,54,27,476,120.65948548502708,0.000993490219116211
Random,74.tpf,RS,42,3,2,30.0,21.0,1.0,42,77,7,2,1,1.4615384615384615,2,1,1.5384615384615385,0.3,21.428571428571427,54,27,651,120.65948548502708,0.003029346466064453
Random,740.tpf,SAA,34,8,3,18.0,43.0,2.0,34,78,7,3,1,2.129032258064516,3,1,2.161290322580645,0.18,50.0,144,48,1021,95.12122041309529,0.006979942321777344
Random,740.tpf,HS,34,8,3,18.0,43.0,2.0,34,78,7,3,1,2.129032258064516,3,1,2.161290322580645,0.18,50.0,144,48,546,95.12122041309529,0.0019948482513427734
Random,740.tpf,RS,34,8,3,18.0,43.0,2.0,34,78,7,3,1,2.129032258064516,3,1,2.161290322580645,0.18,50.0,144,48,1042,95.12122041309529,0.0069806575775146484
Random,741.tpf,SAA,39,14,1,16.0,33.0,2.0,39,54,7,1,1,1.0,1,1,1.0,0.16,28.205128205128204,81,27,623,156.92664997679216,0.003988504409790039
Random,741.tpf,HS,39,14,1,16.0,33.0,2.0,39,54,7,1,1,1.0,1,1,1.0,0.16,28.205128205128204,81,27,126,156.92664997679216,0.000997781753540039
Random,741.tpf,RS,39,14,1,16.0,33.0,2.0,39,54,7,1,1,1.0,1,1,1.0,0.16,28.205128205128204,81,27,233,156.92664997679216,0.0009984970092773438
Random,742.tpf,SAA,68,7,2,10.0,10.0,2.0,68,123,9,2,1,1.5692307692307692,2,1,1.5538461538461539,0.1,8.823529411764707,150,50,1824,816.1477334464687,0.007978677749633789
