,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
571,"['100', '10', '3', '20', '50']",dg27.tpf,HS,100,10,3,20,50,1,102,240,9,3,1,2.1616161616161618,3,1,2.1818181818181817,0.2,50.98039215686274,136,68,8545,101.95753946853101,0.057715654373168945
572,"['100', '10', '3', '20', '50']",dg27.tpf,RS,100,10,3,20,50,1,102,240,9,3,1,2.1616161616161618,3,1,2.1818181818181817,0.2,50.98039215686274,136,68,24824,101.95753946853101,0.24846291542053223
573,"['100', '10', '3', '20', '50']",dg270.tpf,SAA,100,10,3,20,50,1,102,244,7,3,1,2.1818181818181817,3,1,2.1818181818181817,0.2,44.11764705882353,122,61,5213,230.18864243818638,0.0760352611541748
574,"['100', '10', '3', '20', '50']",dg270.tpf,HS,100,10,3,20,50,1,102,244,7,3,1,2.1818181818181817,3,1,2.1818181818181817,0.2,44.11764705882353,122,61,3975,230.18864243818638,0.02499556541442871
575,"['100', '10', '3', '20', '50']",dg270.tpf,RS,100,10,3,20,50,1,102,244,7,3,1,2.1818181818181817,3,1,2.1818181818181817,0.2,44.11764705882353,122,61,19988,230.18864243818638,0.20465087890625
576,"['100', '10', '3', '20', '50']",dg271.tpf,SAA,100,10,3,20,50,1,102,249,8,3,1,2.2525252525252526,3,1,2.2323232323232323,0.2,50.0,152,76,6718,188.02211134888722,0.06180596351623535
577,"['100', '10', '3', '20', '50']",dg271.tpf,HS,100,10,3,20,50,1,102,249,8,3,1,2.2525252525252526,3,1,2.2323232323232323,0.2,50.0,152,76,5177,188.02211134888722,0.029703378677368164
578,"['100', '10', '3', '20', '50']",dg271.tpf,RS,100,10,3,20,50,1,102,249,8,3,1,2.2525252525252526,3,1,2.2323232323232323,0.2,50.0,152,72,31818,188.02211134888722,0.3204624652862549
579,"['100', '10', '3', '20', '50']",dg272.tpf,SAA,100,10,3,20,50,1,102,242,8,3,1,2.1717171717171717,3,1,2.1717171717171717,0.2,44.11764705882353,120,60,5660,204.91716842321404,0.05494832992553711
580,"['100', '10', '3', '20', '50']",dg272.tpf,HS,100,10,3,20,50,1,102,242,8,3,1,2.1717171717171717,3,1,2.1717171717171717,0.2,44.11764705882353,120,60,3915,204.91716842321404,0.02575516700744629
581,"['100', '10', '3', '20', '50']",dg272.tpf,RS,100,10,3,20,50,1,102,242,8,3,1,2.1717171717171717,3,1,2.1717171717171717,0.2,44.11764705882353,120,60,13104,204.91716842321404,0.13042855262756348
582,"['100', '10', '3', '20', '50']",dg273.tpf,SAA,100,10,3,20,50,1,102,239,8,3,1,2.101010101010101,3,1,2.1414141414141414,0.2,53.92156862745098,140,70,5776,208.30337614826675,0.06275796890258789
583,"['100', '10', '3', '20', '50']",dg273.tpf,HS,100,10,3,20,50,1,102,239,8,3,1,2.101010101010101,3,1,2.1414141414141414,0.2,53.92156862745098,140,70,4472,208.30337614826675,0.027881622314453125
584,"['100', '10', '3', '20', '50']",dg273.tpf,RS,100,10,3,20,50,1,102,239,8,3,1,2.101010101010101,3,1,2.1414141414141414,0.2,53.92156862745098,140,70,25460,208.30337614826675,0.251356840133667
585,"['100', '10', '3', '20', '50']",dg274.tpf,SAA,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.101010101010101,0.2,48.03921568627451,130,65,6757,195.14534713292136,0.06667113304138184
586,"['100', '10', '3', '20', '50']",dg274.tpf,HS,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.101010101010101,0.2,48.03921568627451,130,65,4886,195.14534713292136,0.03644251823425293
587,"['100', '10', '3', '20', '50']",dg274.tpf,RS,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.101010101010101,0.2,48.03921568627451,130,65,7784,195.14534713292136,0.08390688896179199
588,"['100', '10', '3', '20', '50']",dg275.tpf,SAA,100,10,3,20,50,1,102,247,8,3,1,2.2222222222222223,3,1,2.272727272727273,0.2,50.98039215686274,140,70,4990,127.71251393542065,0.038132667541503906
589,"['100', '10', '3', '20', '50']",dg275.tpf,HS,100,10,3,20,50,1,102,247,8,3,1,2.2222222222222223,3,1,2.272727272727273,0.2,50.98039215686274,140,70,4141,127.71251393542065,0.03084564208984375
590,"['100', '10', '3', '20', '50']",dg275.tpf,RS,100,10,3,20,50,1,102,247,8,3,1,2.2222222222222223,3,1,2.272727272727273,0.2,50.98039215686274,140,70,49878,127.57690241305382,0.4938786029815674
591,"['100', '10', '3', '20', '50']",dg276.tpf,SAA,100,10,3,20,50,1,102,241,8,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,38.23529411764706,132,66,7545,155.7672886344416,0.07793617248535156
592,"['100', '10', '3', '20', '50']",dg276.tpf,HS,100,10,3,20,50,1,102,241,8,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,38.23529411764706,132,66,4220,155.7672886344416,0.027069091796875
593,"['100', '10', '3', '20', '50']",dg276.tpf,RS,100,10,3,20,50,1,102,241,8,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,38.23529411764706,132,66,42275,155.7672886344416,0.3900275230407715
594,"['100', '10', '3', '20', '50']",dg277.tpf,SAA,100,10,3,20,50,1,102,246,8,3,1,2.2222222222222223,3,1,2.242424242424242,0.2,44.11764705882353,114,57,5504,126.2318070755613,0.04194974899291992
595,"['100', '10', '3', '20', '50']",dg277.tpf,HS,100,10,3,20,50,1,102,246,8,3,1,2.2222222222222223,3,1,2.242424242424242,0.2,44.11764705882353,114,57,4179,126.2318070755613,0.02739691734313965
596,"['100', '10', '3', '20', '50']",dg277.tpf,RS,100,10,3,20,50,1,102,246,8,3,1,2.2222222222222223,3,1,2.242424242424242,0.2,44.11764705882353,114,57,32569,124.08915718560517,0.3280963897705078
597,"['100', '10', '3', '20', '50']",dg278.tpf,SAA,100,10,3,20,50,1,102,243,7,3,1,2.212121212121212,3,1,2.1818181818181817,0.2,50.98039215686274,112,56,5494,91.86552028120961,0.04751944541931152
598,"['100', '10', '3', '20', '50']",dg278.tpf,HS,100,10,3,20,50,1,102,243,7,3,1,2.212121212121212,3,1,2.1818181818181817,0.2,50.98039215686274,112,56,4377,91.86552028120961,0.03287863731384277
