;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
0;['100', '10', '3', '20', '50'];dg1.tpf;SAA;100;10;3;20;50;1;102;234;8;3;1;2.0707070707070705;3;1;2.111111111111111;0.2;57.84313725490197;118;59;6069;117.83948941951405;0.03090524673461914
1;['100', '10', '3', '20', '50'];dg1.tpf;HS;100;10;3;20;50;1;102;234;8;3;1;2.0707070707070705;3;1;2.111111111111111;0.2;57.84313725490197;118;59;4977;117.83948941951405;0.017331361770629883
2;['100', '10', '3', '20', '50'];dg1.tpf;RS;100;10;3;20;50;1;102;234;8;3;1;2.0707070707070705;3;1;2.111111111111111;0.2;57.84313725490197;118;59;39259;117.83948941951405;0.3135530948638916
3;['100', '10', '3', '20', '50'];dg10.tpf;SAA;100;10;3;20;50;1;102;242;7;3;1;2.121212121212121;3;1;2.1717171717171717;0.2;50.98039215686274;116;58;5854;171.03841613887053;0.06740164756774902
4;['100', '10', '3', '20', '50'];dg10.tpf;HS;100;10;3;20;50;1;102;242;7;3;1;2.121212121212121;3;1;2.1717171717171717;0.2;50.98039215686274;116;58;4718;171.03841613887053;0.044654130935668945
5;['100', '10', '3', '20', '50'];dg10.tpf;RS;100;10;3;20;50;1;102;242;7;3;1;2.121212121212121;3;1;2.1717171717171717;0.2;50.98039215686274;116;58;29531;171.03841613887053;0.17422103881835938
6;['100', '10', '3', '20', '50'];dg100.tpf;SAA;100;10;3;20;50;1;102;232;8;3;1;2.01010101010101;3;1;2.080808080808081;0.2;50.0;122;61;4626;209.87456749577157;0.045830488204956055
7;['100', '10', '3', '20', '50'];dg100.tpf;HS;100;10;3;20;50;1;102;232;8;3;1;2.01010101010101;3;1;2.080808080808081;0.2;50.0;122;61;3667;209.87456749577157;0.02777099609375
8;['100', '10', '3', '20', '50'];dg100.tpf;RS;100;10;3;20;50;1;102;232;8;3;1;2.01010101010101;3;1;2.080808080808081;0.2;50.0;122;61;14892;209.8745667600997;0.2093067169189453
9;['100', '10', '3', '20', '50'];dg11.tpf;SAA;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1414141414141414;0.2;44.11764705882353;142;71;4279;201.87171194133114;0.0578160285949707
10;['100', '10', '3', '20', '50'];dg11.tpf;HS;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1414141414141414;0.2;44.11764705882353;142;71;3275;201.87171194133114;0.03426384925842285
11;['100', '10', '3', '20', '50'];dg11.tpf;RS;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1414141414141414;0.2;44.11764705882353;142;71;6827;201.87171194133114;0.03158998489379883
12;['100', '10', '3', '20', '50'];dg12.tpf;SAA;100;10;3;20;50;1;102;243;8;3;1;2.1414141414141414;3;1;2.1515151515151514;0.2;45.09803921568628;122;61;4096;212.82835668081287;0.024028301239013672
13;['100', '10', '3', '20', '50'];dg12.tpf;HS;100;10;3;20;50;1;102;243;8;3;1;2.1414141414141414;3;1;2.1515151515151514;0.2;45.09803921568628;122;61;3268;212.82835668081287;0.015395879745483398
14;['100', '10', '3', '20', '50'];dg12.tpf;RS;100;10;3;20;50;1;102;243;8;3;1;2.1414141414141414;3;1;2.1515151515151514;0.2;45.09803921568628;122;61;13201;212.82835668081287;0.14719796180725098
15;['100', '10', '3', '20', '50'];dg13.tpf;SAA;100;10;3;20;50;1;102;233;8;3;1;2.0303030303030303;3;1;2.101010101010101;0.2;44.11764705882353;100;50;6740;180.70066050859614;0.0376582145690918
16;['100', '10', '3', '20', '50'];dg13.tpf;HS;100;10;3;20;50;1;102;233;8;3;1;2.0303030303030303;3;1;2.101010101010101;0.2;44.11764705882353;100;50;5182;180.70066050859614;0.045494794845581055
17;['100', '10', '3', '20', '50'];dg13.tpf;RS;100;10;3;20;50;1;102;233;8;3;1;2.0303030303030303;3;1;2.101010101010101;0.2;44.11764705882353;100;50;12248;180.70065429944586;0.11928248405456543
18;['100', '10', '3', '20', '50'];dg14.tpf;SAA;100;10;3;20;50;1;102;245;8;3;1;2.1818181818181817;3;1;2.272727272727273;0.2;51.9607843137255;100;50;6947;128.02939582836544;0.03996992111206055
19;['100', '10', '3', '20', '50'];dg14.tpf;HS;100;10;3;20;50;1;102;245;8;3;1;2.1818181818181817;3;1;2.272727272727273;0.2;51.9607843137255;100;50;5398;128.02939582836544;0.033342838287353516
20;['100', '10', '3', '20', '50'];dg14.tpf;RS;100;10;3;20;50;1;102;245;8;3;1;2.1818181818181817;3;1;2.272727272727273;0.2;51.9607843137255;100;50;20568;128.02939582836544;0.1546611785888672
21;['100', '10', '3', '20', '50'];dg15.tpf;SAA;100;10;3;20;50;1;102;235;11;3;1;2.101010101010101;3;1;2.1414141414141414;0.2;52.94117647058824;134;67;5741;134.1941113988668;0.04914975166320801
22;['100', '10', '3', '20', '50'];dg15.tpf;HS;100;10;3;20;50;1;102;235;11;3;1;2.101010101010101;3;1;2.1414141414141414;0.2;52.94117647058824;134;67;4590;134.1941113988668;0.014876842498779297
23;['100', '10', '3', '20', '50'];dg15.tpf;RS;100;10;3;20;50;1;102;235;11;3;1;2.101010101010101;3;1;2.1414141414141414;0.2;52.94117647058824;134;67;45754;134.1941113988668;0.2996337413787842
24;['100', '10', '3', '20', '50'];dg16.tpf;SAA;100;10;3;20;50;1;102;248;9;3;1;2.212121212121212;3;1;2.272727272727273;0.2;53.92156862745098;128;64;7363;166.77824372726826;0.0411381721496582
25;['100', '10', '3', '20', '50'];dg16.tpf;HS;100;10;3;20;50;1;102;248;9;3;1;2.212121212121212;3;1;2.272727272727273;0.2;53.92156862745098;128;64;5896;166.77824372726826;0.051062583923339844
26;['100', '10', '3', '20', '50'];dg16.tpf;RS;100;10;3;20;50;1;102;248;9;3;1;2.212121212121212;3;1;2.272727272727273;0.2;53.92156862745098;128;63;17986;166.77824372726826;0.21895503997802734
27;['100', '10', '3', '20', '50'];dg17.tpf;SAA;100;10;3;20;50;1;102;241;7;3;1;2.1717171717171717;3;1;2.1717171717171717;0.2;54.90196078431373;112;56;4856;176.72138078260377;0.03434181213378906
28;['100', '10', '3', '20', '50'];dg17.tpf;HS;100;10;3;20;50;1;102;241;7;3;1;2.1717171717171717;3;1;2.1717171717171717;0.2;54.90196078431373;112;56;4184;176.72138078260377;0.03267097473144531
29;['100', '10', '3', '20', '50'];dg17.tpf;RS;100;10;3;20;50;1;102;241;7;3;1;2.1717171717171717;3;1;2.1717171717171717;0.2;54.90196078431373;112;56;42550;176.72138078260377;0.5739164352416992
30;['100', '10', '3', '20', '50'];dg18.tpf;SAA;100;10;3;20;50;1;102;239;8;3;1;2.090909090909091;3;1;2.1616161616161618;0.2;56.86274509803921;138;69;6814;147.18762056095207;0.06418824195861816
31;['100', '10', '3', '20', '50'];dg18.tpf;HS;100;10;3;20;50;1;102;239;8;3;1;2.090909090909091;3;1;2.1616161616161618;0.2;56.86274509803921;138;69;4892;147.18762056095207;0.026480436325073242
32;['100', '10', '3', '20', '50'];dg18.tpf;RS;100;10;3;20;50;1;102;239;8;3;1;2.090909090909091;3;1;2.1616161616161618;0.2;56.86274509803921;138;69;25379;147.18762056095207;0.3550562858581543
33;['100', '10', '3', '20', '50'];dg19.tpf;SAA;100;10;3;20;50;1;102;235;8;3;1;2.080808080808081;3;1;2.1414141414141414;0.2;46.07843137254902;118;59;4529;208.04042606727702;0.053168296813964844
34;['100', '10', '3', '20', '50'];dg19.tpf;HS;100;10;3;20;50;1;102;235;8;3;1;2.080808080808081;3;1;2.1414141414141414;0.2;46.07843137254902;118;59;3433;208.04042606727702;0.020962953567504883
35;['100', '10', '3', '20', '50'];dg19.tpf;RS;100;10;3;20;50;1;102;235;8;3;1;2.080808080808081;3;1;2.1414141414141414;0.2;46.07843137254902;118;59;26296;208.04042606727702;0.25459837913513184
36;['100', '10', '3', '20', '50'];dg2.tpf;SAA;100;10;3;20;50;1;102;236;8;3;1;2.080808080808081;3;1;2.111111111111111;0.2;43.13725490196079;126;63;4829;210.86454656591988;0.03418159484863281
37;['100', '10', '3', '20', '50'];dg2.tpf;HS;100;10;3;20;50;1;102;236;8;3;1;2.080808080808081;3;1;2.111111111111111;0.2;43.13725490196079;126;63;3663;210.86454656591988;0.026288986206054688
38;['100', '10', '3', '20', '50'];dg2.tpf;RS;100;10;3;20;50;1;102;236;8;3;1;2.080808080808081;3;1;2.111111111111111;0.2;43.13725490196079;126;63;10976;210.86454617510972;0.1174173355102539
39;['100', '10', '3', '20', '50'];dg20.tpf;SAA;100;10;3;20;50;1;102;242;8;3;1;2.1414141414141414;3;1;2.1717171717171717;0.2;51.9607843137255;116;58;6258;183.2425210524994;0.08832478523254395
40;['100', '10', '3', '20', '50'];dg20.tpf;HS;100;10;3;20;50;1;102;242;8;3;1;2.1414141414141414;3;1;2.1717171717171717;0.2;51.9607843137255;116;58;4824;183.2425210524994;0.034214019775390625
41;['100', '10', '3', '20', '50'];dg20.tpf;RS;100;10;3;20;50;1;102;242;8;3;1;2.1414141414141414;3;1;2.1717171717171717;0.2;51.9607843137255;116;58;7374;183.2425210524994;0.07288765907287598
42;['100', '10', '3', '20', '50'];dg21.tpf;SAA;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1818181818181817;0.2;45.09803921568628;134;67;12491;122.33360247426245;0.09247493743896484
43;['100', '10', '3', '20', '50'];dg21.tpf;HS;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1818181818181817;0.2;45.09803921568628;134;67;10044;122.33360247426245;0.04186224937438965
44;['100', '10', '3', '20', '50'];dg21.tpf;RS;100;10;3;20;50;1;102;240;9;3;1;2.1717171717171717;3;1;2.1818181818181817;0.2;45.09803921568628;134;67;40447;122.33360247426245;0.4483211040496826
45;['100', '10', '3', '20', '50'];dg22.tpf;SAA;100;10;3;20;50;1;102;247;8;3;1;2.212121212121212;3;1;2.202020202020202;0.2;54.90196078431373;112;56;5177;174.59018022032495;0.025007009506225586
46;['100', '10', '3', '20', '50'];dg22.tpf;HS;100;10;3;20;50;1;102;247;8;3;1;2.212121212121212;3;1;2.202020202020202;0.2;54.90196078431373;112;56;4599;174.59018022032495;0.023980140686035156
47;['100', '10', '3', '20', '50'];dg22.tpf;RS;100;10;3;20;50;1;102;247;8;3;1;2.212121212121212;3;1;2.202020202020202;0.2;54.90196078431373;112;54;31040;174.59018022032495;0.25035929679870605
48;['100', '10', '3', '20', '50'];dg23.tpf;SAA;100;10;3;20;50;1;102;238;7;3;1;2.101010101010101;3;1;2.101010101010101;0.2;48.03921568627451;132;66;4451;250.12320417111025;0.060494422912597656
49;['100', '10', '3', '20', '50'];dg23.tpf;HS;100;10;3;20;50;1;102;238;7;3;1;2.101010101010101;3;1;2.101010101010101;0.2;48.03921568627451;132;66;3482;250.12320417111025;0.04138779640197754
50;['100', '10', '3', '20', '50'];dg23.tpf;RS;100;10;3;20;50;1;102;238;7;3;1;2.101010101010101;3;1;2.101010101010101;0.2;48.03921568627451;132;66;20033;250.12320406153313;0.27207064628601074
51;['100', '10', '3', '20', '50'];dg24.tpf;SAA;100;10;3;20;50;1;102;246;7;3;1;2.202020202020202;3;1;2.212121212121212;0.2;54.90196078431373;134;67;7507;152.3294390187254;0.034131765365600586
52;['100', '10', '3', '20', '50'];dg24.tpf;HS;100;10;3;20;50;1;102;246;7;3;1;2.202020202020202;3;1;2.212121212121212;0.2;54.90196078431373;134;67;5965;152.3294390187254;0.035630226135253906
53;['100', '10', '3', '20', '50'];dg24.tpf;RS;100;10;3;20;50;1;102;246;7;3;1;2.202020202020202;3;1;2.212121212121212;0.2;54.90196078431373;134;67;33696;152.3294390187254;0.19479060173034668
54;['100', '10', '3', '20', '50'];dg25.tpf;SAA;100;10;3;20;50;1;102;250;7;3;1;2.202020202020202;3;1;2.242424242424242;0.2;49.01960784313725;134;67;7420;261.0181647251684;0.048619985580444336
55;['100', '10', '3', '20', '50'];dg25.tpf;HS;100;10;3;20;50;1;102;250;7;3;1;2.202020202020202;3;1;2.242424242424242;0.2;49.01960784313725;134;67;6091;261.0181647251684;0.04899001121520996
56;['100', '10', '3', '20', '50'];dg25.tpf;RS;100;10;3;20;50;1;102;250;7;3;1;2.202020202020202;3;1;2.242424242424242;0.2;49.01960784313725;134;67;21389;261.0181647251684;0.19950366020202637
57;['100', '10', '3', '20', '50'];dg26.tpf;SAA;100;10;3;20;50;1;102;234;9;3;1;2.101010101010101;3;1;2.121212121212121;0.2;49.01960784313725;128;64;5483;186.15165377848345;0.0263979434967041
58;['100', '10', '3', '20', '50'];dg26.tpf;HS;100;10;3;20;50;1;102;234;9;3;1;2.101010101010101;3;1;2.121212121212121;0.2;49.01960784313725;128;64;4271;186.15165377848345;0.03518962860107422
