,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
935,"['100', '10', '3', '20', '50']",dg379.tpf,RS,100,10,3,20,50,1,102,242,8,3,1,2.1717171717171717,3,1,2.1515151515151514,0.2,49.01960784313725,116,58,30921,251.5580564519764,0.3674328327178955
936,"['100', '10', '3', '20', '50']",dg38.tpf,SAA,100,10,3,20,50,1,102,243,9,3,1,2.1717171717171717,3,1,2.1616161616161618,0.2,51.9607843137255,128,64,6013,132.6614486372368,0.050420522689819336
937,"['100', '10', '3', '20', '50']",dg38.tpf,HS,100,10,3,20,50,1,102,243,9,3,1,2.1717171717171717,3,1,2.1616161616161618,0.2,51.9607843137255,128,64,4669,132.6614486372368,0.028078317642211914
938,"['100', '10', '3', '20', '50']",dg38.tpf,RS,100,10,3,20,50,1,102,243,9,3,1,2.1717171717171717,3,1,2.1616161616161618,0.2,51.9607843137255,128,64,27874,132.5416784702385,0.32883524894714355
939,"['100', '10', '3', '20', '50']",dg380.tpf,SAA,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.191919191919192,0.2,48.03921568627451,136,68,4820,171.02411892921205,0.04656648635864258
940,"['100', '10', '3', '20', '50']",dg380.tpf,HS,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.191919191919192,0.2,48.03921568627451,136,68,4019,171.02411892921205,0.027888774871826172
941,"['100', '10', '3', '20', '50']",dg380.tpf,RS,100,10,3,20,50,1,102,244,8,3,1,2.202020202020202,3,1,2.191919191919192,0.2,48.03921568627451,136,68,32056,171.02411892921205,0.35723447799682617
942,"['100', '10', '3', '20', '50']",dg381.tpf,SAA,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.1313131313131315,0.2,44.11764705882353,128,64,6256,103.14228382786175,0.07251119613647461
943,"['100', '10', '3', '20', '50']",dg381.tpf,HS,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.1313131313131315,0.2,44.11764705882353,128,64,4679,103.14228382786175,0.04207921028137207
944,"['100', '10', '3', '20', '50']",dg381.tpf,RS,100,10,3,20,50,1,102,238,8,3,1,2.121212121212121,3,1,2.1313131313131315,0.2,44.11764705882353,128,64,12398,103.14228382786175,0.11861324310302734
945,"['100', '10', '3', '20', '50']",dg382.tpf,SAA,100,10,3,20,50,1,102,237,8,3,1,2.1616161616161618,3,1,2.121212121212121,0.2,49.01960784313725,130,65,4274,149.20866105686318,0.032904624938964844
946,"['100', '10', '3', '20', '50']",dg382.tpf,HS,100,10,3,20,50,1,102,237,8,3,1,2.1616161616161618,3,1,2.121212121212121,0.2,49.01960784313725,130,65,3641,149.20866105686318,0.02713918685913086
947,"['100', '10', '3', '20', '50']",dg382.tpf,RS,100,10,3,20,50,1,102,237,8,3,1,2.1616161616161618,3,1,2.121212121212121,0.2,49.01960784313725,130,65,16269,149.20866105686318,0.19512104988098145
948,"['100', '10', '3', '20', '50']",dg383.tpf,SAA,100,10,3,20,50,1,102,233,9,3,1,2.0202020202020203,3,1,2.101010101010101,0.2,50.0,132,66,3756,171.92937578380793,0.04748892784118652
949,"['100', '10', '3', '20', '50']",dg383.tpf,HS,100,10,3,20,50,1,102,233,9,3,1,2.0202020202020203,3,1,2.101010101010101,0.2,50.0,132,66,2856,171.92937578380793,0.03545832633972168
950,"['100', '10', '3', '20', '50']",dg383.tpf,RS,100,10,3,20,50,1,102,233,9,3,1,2.0202020202020203,3,1,2.101010101010101,0.2,50.0,132,66,7869,171.253123315725,0.08707451820373535
951,"['100', '10', '3', '20', '50']",dg384.tpf,SAA,100,10,3,20,50,1,102,236,9,3,1,2.111111111111111,3,1,2.1414141414141414,0.2,44.11764705882353,120,60,7000,96.3409822409354,0.08735322952270508
952,"['100', '10', '3', '20', '50']",dg384.tpf,HS,100,10,3,20,50,1,102,236,9,3,1,2.111111111111111,3,1,2.1414141414141414,0.2,44.11764705882353,120,60,4940,96.3409822409354,0.05144023895263672
953,"['100', '10', '3', '20', '50']",dg384.tpf,RS,100,10,3,20,50,1,102,236,9,3,1,2.111111111111111,3,1,2.1414141414141414,0.2,44.11764705882353,120,60,29240,96.3409822409354,0.326448917388916
