id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
45,RS,50,10,2,10,0,2,52,0,95,7,2,1,"1,551020408",2,1,"1,571428571","0,1",0,150,50,52,"683,4883365",0
46,SAA,50,10,2,10,0,2,110,0,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,110,"468,8166297",0
47,HS,50,10,2,10,0,2,52,0,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,52,"468,8166297",0
48,RS,50,10,2,10,0,2,52,0,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,52,"468,8166297",0
49,SAA,50,10,2,10,0,2,112,"0,0156185627",94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,112,"707,7175467","0,0156185627"
50,HS,50,10,2,10,0,2,52,0,94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,52,"707,7175467",0
51,RS,50,10,2,10,0,2,52,0,94,7,2,1,"1,591836735",2,1,"1,571428571","0,1",0,150,50,52,"707,7175467",0
52,SAA,50,10,2,10,0,2,109,0,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,109,"629,9608097",0
53,HS,50,10,2,10,0,2,52,0,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,52,"629,9608097",0
54,RS,50,10,2,10,0,2,52,0,91,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,135,45,52,"629,9608097",0
55,SAA,50,10,2,10,0,2,108,"0,0009970665",93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,108,"751,7042105","0,0009970665"
56,HS,50,10,2,10,0,2,52,0,93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,52,"751,7042105",0
57,RS,50,10,2,10,0,2,52,0,93,9,2,1,"1,510204082",2,1,"1,489795918","0,1",0,171,57,52,"751,7042105",0
58,SAA,50,10,2,10,0,2,95,0,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,95,"648,2962104",0
59,HS,50,10,2,10,0,2,52,0,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,52,"648,2962104",0
60,RS,50,10,2,10,0,2,52,0,94,8,2,1,"1,510204082",2,1,"1,551020408","0,1",0,105,35,52,"648,2962104",0
61,SAA,50,10,2,10,100,1,2264,"0,03124189377",95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,2264,"-2,220644036","0,03124189377"
62,HS,50,10,2,10,100,1,2151,"0,00651025772",95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,2151,"-2,220644036","0,00651025772"
63,RS,50,10,2,10,100,1,10961,"0,07810473442",95,7,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",84,42,10961,"-2,220644036","0,07810473442"
64,SAA,50,10,2,10,100,1,2274,"0,01562738419",95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,2274,"-0,02799991601","0,01562738419"
65,HS,50,10,2,10,100,1,2158,"0,01562094688",95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,2158,"-0,02799991601","0,01562094688"
66,RS,50,10,2,10,100,1,9862,"0,06900072098",95,8,2,1,"1,571428571",2,1,"1,612244898","0,1","96,15384615",148,74,9862,"-0,02799991601","0,06900072098"
67,SAA,50,10,2,10,100,1,2266,"0,01562190056",94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,2266,"-0,920845553","0,01562190056"
68,HS,50,10,2,10,100,1,2165,"0,00650763512",94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,2165,"-0,920845553","0,00650763512"
69,RS,50,10,2,10,100,1,10523,"0,0838599205",94,8,2,1,"1,571428571",2,1,"1,591836735","0,1","96,15384615",94,47,10523,"-0,920845553","0,0838599205"
70,SAA,50,10,2,10,100,1,2267,"0,00897693634",94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,2267,"-0,2142857479","0,00897693634"
71,HS,50,10,2,10,100,1,2147,"0,00498628616",94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,2147,"-0,2142857479","0,00498628616"
72,RS,50,10,2,10,100,1,12100,"0,07380318642",94,9,2,1,"1,612244898",2,1,"1,591836735","0,1","96,15384615",122,61,12100,"-0,2142857479","0,07380318642"
73,SAA,50,10,2,10,100,1,2327,"0,01495957375",95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,2327,"-1,465956734","0,01495957375"
74,HS,50,10,2,10,100,1,2206,0,95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,2206,"-1,465956734",0
75,RS,50,10,2,10,100,1,17286,"0,1326913834",95,8,2,1,"1,653061224",2,1,"1,653061224","0,1","96,15384615",96,48,17286,"-1,465956734","0,1326913834"
76,SAA,50,10,2,10,100,1,2187,"0,01721954346",94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,42,2187,"-1,88169732","0,01721954346"
77,HS,50,10,2,10,100,1,2071,"0,01562261581",94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,42,2071,"-1,88169732","0,01562261581"
78,RS,50,10,2,10,100,1,6040,"0,04687070847",94,8,2,1,"1,530612245",2,1,"1,510204082","0,1","96,15384615",84,41,6040,"-1,88169732","0,04687070847"
79,SAA,50,10,2,10,100,1,2196,"0,01562070847",91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,46,2196,"-1,163091064","0,01562070847"
80,HS,50,10,2,10,100,1,2080,"0,01562738419",91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,46,2080,"-1,163091064","0,01562738419"
81,RS,50,10,2,10,100,1,14263,"0,131483078",91,8,2,1,"1,530612245",2,1,"1,551020408","0,1","96,15384615",92,42,14263,"-1,163091064","0,131483078"
82,SAA,50,10,2,10,100,1,2124,"0,00650763512",93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,2124,"-5,71916444","0,00650763512"
83,HS,50,10,2,10,100,1,2023,"0,01562094688",93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,2023,"-5,71916444","0,01562094688"
84,RS,50,10,2,10,100,1,5779,"0,05336952209",93,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",72,36,5779,"-5,71916444","0,05336952209"
85,SAA,50,10,2,10,100,1,2154,"0,0156223774",93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,2154,"-1,069831974","0,0156223774"
86,HS,50,10,2,10,100,1,2041,0,93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,2041,"-1,069831974",0
87,RS,50,10,2,10,100,1,21143,"0,1627323628",93,8,2,1,"1,591836735",2,1,"1,510204082","0,1","96,15384615",96,48,21143,"-1,069831974","0,1627323628"
88,SAA,50,10,2,10,100,1,2189,0,89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,2189,"-1,759989534",0
89,HS,50,10,2,10,100,1,2075,"0,01562666893",89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,2075,"-1,759989534","0,01562666893"
90,RS,50,10,2,10,100,1,15342,"0,1314847469",89,8,2,1,"1,510204082",2,1,"1,551020408","0,1","96,15384615",90,45,15342,"-1,759989534","0,1314847469"
91,SAA,50,10,2,10,100,2,2042,"0,01562142372",92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,56,2042,"-0,001514164258","0,01562142372"
92,HS,50,10,2,10,100,2,1937,0,92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,56,1937,"-0,001514164258",0
93,RS,50,10,2,10,100,2,8276,"0,1158766747",92,7,2,1,"1,530612245",2,1,"1,489795918","0,1","96,15384615",168,55,8276,"-0,001514164258","0,1158766747"
94,SAA,50,10,2,10,100,2,2265,"0,01562190056",94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,2265,"-0,005355105534","0,01562190056"
95,HS,50,10,2,10,100,2,2158,"0,01562952995",94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,2158,"-0,005355105534","0,01562952995"
96,RS,50,10,2,10,100,2,8302,"0,06248474121",94,7,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",153,51,8302,"-0,005355105534","0,06248474121"
97,SAA,50,10,2,10,100,2,2076,"0,01561903954",89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,2076,"-0,0120693478","0,01561903954"
98,HS,50,10,2,10,100,2,1961,"0,01562285423",89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,1961,"-0,0120693478","0,01562285423"
99,RS,50,10,2,10,100,2,12510,"0,07811379433",89,9,2,1,"1,530612245",2,1,"1,448979592","0,1","96,15384615",144,48,12510,"-0,0120693478","0,07811379433"
100,SAA,50,10,2,10,100,2,2238,"0,01562213898",94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,2238,"-0,007902811634","0,01562213898"
101,HS,50,10,2,10,100,2,2136,0,94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,2136,"-0,007902811634",0
