id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
1590,RS,50,5,3,10,100,2,13705,"0,09674096107",118,6,3,1,"2,040816327",3,1,"2,020408163","0,1","96,15384615",132,44,13705,"-0,03567470123","0,09674096107"
1591,SAA,50,5,3,10,20,1,741,"0,0079767704",124,7,3,1,"2,183673469",3,1,"2,163265306","0,1","15,38461538",84,42,741,"438,3041203","0,0079767704"
1592,HS,50,5,3,10,20,1,366,"0,00199484825",124,7,3,1,"2,183673469",3,1,"2,163265306","0,1","15,38461538",84,42,366,"438,3041203","0,00199484825"
1593,RS,50,5,3,10,20,1,366,"0,00299882889",124,7,3,1,"2,183673469",3,1,"2,163265306","0,1","15,38461538",84,42,366,"438,3041203","0,00299882889"
1594,SAA,50,5,3,10,20,1,410,"0,00698041916",117,7,3,1,2,3,1,2,"0,1","19,23076923",72,36,410,"528,4421553","0,00698041916"
1595,HS,50,5,3,10,20,1,213,"0,00099539757",117,7,3,1,2,3,1,2,"0,1","19,23076923",72,36,213,"528,4421553","0,00099539757"
1596,RS,50,5,3,10,20,1,332,"0,00299096107",117,7,3,1,2,3,1,2,"0,1","19,23076923",72,36,332,"528,4421553","0,00299096107"
1597,SAA,50,5,3,10,20,1,494,"0,006980896",111,7,3,1,"1,816326531",3,1,"1,918367347","0,1","19,23076923",74,37,494,"417,3218707","0,006980896"
1598,HS,50,5,3,10,20,1,269,"0,00199437141",111,7,3,1,"1,816326531",3,1,"1,918367347","0,1","19,23076923",74,37,269,"417,3218707","0,00199437141"
1599,RS,50,5,3,10,20,1,379,"0,001994133",111,7,3,1,"1,816326531",3,1,"1,918367347","0,1","19,23076923",74,37,379,"417,3218707","0,001994133"
1600,SAA,50,5,3,10,20,1,692,"0,00598359108",125,7,3,1,"2,142857143",3,1,"2,224489796","0,1","19,23076923",78,39,692,"327,0979502","0,00598359108"
1601,HS,50,5,3,10,20,1,367,"0,00199460983",125,7,3,1,"2,142857143",3,1,"2,224489796","0,1","19,23076923",78,39,367,"327,0979502","0,00199460983"
1602,RS,50,5,3,10,20,1,532,"0,00199484825",125,7,3,1,"2,142857143",3,1,"2,224489796","0,1","19,23076923",78,39,532,"327,0979502","0,00199484825"
1603,SAA,50,5,3,10,20,1,533,"0,00299191475",118,7,3,1,"2,020408163",3,1,"2,081632653","0,1","17,30769231",84,42,533,"414,3488654","0,00299191475"
1604,HS,50,5,3,10,20,1,281,"0,00199627876",118,7,3,1,"2,020408163",3,1,"2,081632653","0,1","17,30769231",84,42,281,"414,3488654","0,00199627876"
1605,RS,50,5,3,10,20,1,284,"0,00099682808",118,7,3,1,"2,020408163",3,1,"2,081632653","0,1","17,30769231",84,42,284,"414,3488654","0,00099682808"
1606,SAA,50,5,3,10,20,1,277,"0,0020108223",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","11,53846154",80,40,277,"451,3275159","0,0020108223"
1607,HS,50,5,3,10,20,1,122,"0,00099778175",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","11,53846154",80,40,122,"451,3275159","0,00099778175"
1608,RS,50,5,3,10,20,1,192,"0,00199460983",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","11,53846154",80,40,192,"451,3275159","0,00199460983"
1609,SAA,50,5,3,10,20,1,1038,"0,00997304916",119,7,3,1,"2,040816327",3,1,"2,102040816","0,1","28,84615385",78,39,1038,"378,9710736","0,00997304916"
1610,HS,50,5,3,10,20,1,627,"0,00299096107",119,7,3,1,"2,040816327",3,1,"2,102040816","0,1","28,84615385",78,39,627,"378,9710736","0,00299096107"
1611,RS,50,5,3,10,20,1,795,"0,004986763",119,7,3,1,"2,040816327",3,1,"2,102040816","0,1","28,84615385",78,39,795,"378,9710736","0,004986763"
1612,SAA,50,5,3,10,20,1,502,"0,00498771667",115,7,3,1,2,3,1,"1,979591837","0,1","21,15384615",84,42,502,"424,1474041","0,00498771667"
1613,HS,50,5,3,10,20,1,277,"0,00199460983",115,7,3,1,2,3,1,"1,979591837","0,1","21,15384615",84,42,277,"424,1474041","0,00199460983"
1614,RS,50,5,3,10,20,1,558,"0,00395417213",115,7,3,1,2,3,1,"1,979591837","0,1","21,15384615",84,42,558,"423,3056756","0,00395417213"
1615,SAA,50,5,3,10,20,1,417,"0,00499129295",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","13,46153846",74,37,417,"439,6710018","0,00499129295"
1616,HS,50,5,3,10,20,1,185,"0,00099658966",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","13,46153846",74,37,185,"439,6710018","0,00099658966"
1617,RS,50,5,3,10,20,1,211,"0,00199604034",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","13,46153846",74,37,211,"439,6710018","0,00199604034"
1618,SAA,50,5,3,10,20,1,409,"0,00299215317",123,7,3,1,"2,081632653",3,1,"2,163265306","0,1","13,46153846",82,41,409,"507,7077579","0,00299215317"
1619,HS,50,5,3,10,20,1,186,"0,00099539757",123,7,3,1,"2,081632653",3,1,"2,163265306","0,1","13,46153846",82,41,186,"507,7077579","0,00099539757"
1620,RS,50,5,3,10,20,1,210,0,123,7,3,1,"2,081632653",3,1,"2,163265306","0,1","13,46153846",82,41,210,"507,7077579",0
1621,SAA,50,5,3,10,20,2,490,"0,00500631332",116,7,3,1,"1,93877551",3,1,"2,020408163","0,1","15,38461538",138,46,490,"517,0470636","0,00500631332"
1622,HS,50,5,3,10,20,2,261,"0,00506448746",116,7,3,1,"1,93877551",3,1,"2,020408163","0,1","15,38461538",138,46,261,"517,0470636","0,00506448746"
1623,RS,50,5,3,10,20,2,1536,"0,01007223129",116,7,3,1,"1,93877551",3,1,"2,020408163","0,1","15,38461538",138,46,1536,"517,0470636","0,01007223129"
1624,SAA,50,5,3,10,20,2,670,"0,00500798225",122,7,3,1,"2,142857143",3,1,"2,163265306","0,1","15,38461538",135,45,670,"397,5117656","0,00500798225"
1625,HS,50,5,3,10,20,2,329,0,122,7,3,1,"2,142857143",3,1,"2,163265306","0,1","15,38461538",135,45,329,"397,5117656",0
1626,RS,50,5,3,10,20,2,564,"0,0049932003",122,7,3,1,"2,142857143",3,1,"2,163265306","0,1","15,38461538",135,45,564,"397,5117656","0,0049932003"
1627,SAA,50,5,3,10,20,2,450,"0,00398898125",115,7,3,1,"1,857142857",3,1,"2,020408163","0,1","21,15384615",117,39,450,"416,6064888","0,00398898125"
1628,HS,50,5,3,10,20,2,226,"0,00199437141",115,7,3,1,"1,857142857",3,1,"2,020408163","0,1","21,15384615",117,39,226,"416,6064888","0,00199437141"
1629,RS,50,5,3,10,20,2,526,"0,01447701454",115,7,3,1,"1,857142857",3,1,"2,020408163","0,1","21,15384615",117,39,526,"412,019773","0,01447701454"
1630,SAA,50,5,3,10,20,2,453,"0,0059838295",118,7,3,1,"2,06122449",3,1,"2,06122449","0,1","19,23076923",135,45,453,"418,2838828","0,0059838295"
1631,HS,50,5,3,10,20,2,245,"0,00298905373",118,7,3,1,"2,06122449",3,1,"2,06122449","0,1","19,23076923",135,45,245,"418,2838828","0,00298905373"
1632,RS,50,5,3,10,20,2,530,"0,00498795509",118,7,3,1,"2,06122449",3,1,"2,06122449","0,1","19,23076923",135,45,530,"418,2838828","0,00498795509"
1633,SAA,50,5,3,10,20,2,660,"0,01598000526",121,7,3,1,"2,081632653",3,1,"2,102040816","0,1","21,15384615",108,36,660,"420,2693611","0,01598000526"
1634,HS,50,5,3,10,20,2,373,"0,00199460983",121,7,3,1,"2,081632653",3,1,"2,102040816","0,1","21,15384615",108,36,373,"420,2693611","0,00199460983"
1635,RS,50,5,3,10,20,2,722,"0,00299167633",121,7,3,1,"2,081632653",3,1,"2,102040816","0,1","21,15384615",108,36,722,"420,2693611","0,00299167633"
1636,SAA,50,5,3,10,20,2,611,"0,00897717476",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","9,615384615",126,42,611,"428,2085058","0,00897717476"
1637,HS,50,5,3,10,20,2,252,"0,00099802017",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","9,615384615",126,42,252,"428,2085058","0,00099802017"
1638,RS,50,5,3,10,20,2,270,"0,00299143791",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","9,615384615",126,37,270,"428,2085058","0,00299143791"
1639,SAA,50,5,3,10,20,2,627,"0,00698232651",121,7,3,1,"2,06122449",3,1,"2,163265306","0,1","23,07692308",117,39,627,"345,7756901","0,00698232651"
1640,HS,50,5,3,10,20,2,270,"0,00099849701",121,7,3,1,"2,06122449",3,1,"2,163265306","0,1","23,07692308",117,39,270,"345,7756901","0,00099849701"
1641,RS,50,5,3,10,20,2,341,"0,00299096107",121,7,3,1,"2,06122449",3,1,"2,163265306","0,1","23,07692308",117,39,341,"345,7756901","0,00299096107"
1642,SAA,50,5,3,10,20,2,450,"0,00498700142",115,7,3,1,"1,918367347",3,1,2,"0,1","23,07692308",111,37,450,"453,5270016","0,00498700142"
1643,HS,50,5,3,10,20,2,242,0,115,7,3,1,"1,918367347",3,1,2,"0,1","23,07692308",111,37,242,"453,5270016",0
1644,RS,50,5,3,10,20,2,583,"0,00500679016",115,7,3,1,"1,918367347",3,1,2,"0,1","23,07692308",111,37,583,"453,4713428","0,00500679016"
1645,SAA,50,5,3,10,20,2,423,"0,00843906403",128,7,3,1,"2,183673469",3,1,"2,285714286","0,1","17,30769231",126,42,423,"427,4890139","0,00843906403"
1646,HS,50,5,3,10,20,2,194,0,128,7,3,1,"2,183673469",3,1,"2,285714286","0,1","17,30769231",126,42,194,"427,4890139",0
1647,RS,50,5,3,10,20,2,201,"0,00512838364",128,7,3,1,"2,183673469",3,1,"2,285714286","0,1","17,30769231",126,42,201,"427,4890139","0,00512838364"
1648,SAA,50,5,3,10,20,2,692,"0,00507235527",123,7,3,1,"2,163265306",3,1,"2,12244898","0,1","23,07692308",123,41,692,"390,0514783","0,00507235527"
1649,HS,50,5,3,10,20,2,374,"0,01015877724",123,7,3,1,"2,163265306",3,1,"2,12244898","0,1","23,07692308",123,41,374,"390,0514783","0,01015877724"
1650,RS,50,5,3,10,20,2,417,"0,00199460983",123,7,3,1,"2,163265306",3,1,"2,12244898","0,1","23,07692308",123,41,417,"390,0514783","0,00199460983"
1651,SAA,50,5,3,10,40,1,570,0,119,7,3,1,"2,040816327",3,1,"2,081632653","0,1","28,84615385",88,44,570,"359,617981",0
1652,HS,50,5,3,10,40,1,322,"0,00500822067",119,7,3,1,"2,040816327",3,1,"2,081632653","0,1","28,84615385",88,44,322,"359,617981","0,00500822067"
1653,RS,50,5,3,10,40,1,1007,"0,00398993492",119,7,3,1,"2,040816327",3,1,"2,081632653","0,1","28,84615385",88,44,1007,"357,2552778","0,00398993492"
1654,SAA,50,5,3,10,40,1,815,"0,01997160912",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","42,30769231",92,46,815,"154,9058962","0,01997160912"
1655,HS,50,5,3,10,40,1,514,"0,00299286842",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","42,30769231",92,46,514,"154,9058962","0,00299286842"
1656,RS,50,5,3,10,40,1,1434,"0,01695394516",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","42,30769231",92,46,1434,"153,3687655","0,01695394516"
1657,SAA,50,5,3,10,40,1,1701,"0,01649260521",125,7,3,1,"2,224489796",3,1,"2,183673469","0,1","38,46153846",94,47,1701,"239,0659298","0,01649260521"
1658,HS,50,5,3,10,40,1,1098,"0,00598335266",125,7,3,1,"2,224489796",3,1,"2,183673469","0,1","38,46153846",94,47,1098,"239,0659298","0,00598335266"
1659,RS,50,5,3,10,40,1,1719,"0,02293729782",125,7,3,1,"2,224489796",3,1,"2,183673469","0,1","38,46153846",94,47,1719,"239,0659298","0,02293729782"
1660,SAA,50,5,3,10,40,1,1108,"0,00997281075",120,7,3,1,"2,06122449",3,1,"2,081632653","0,1","32,69230769",92,46,1108,"199,0018748","0,00997281075"
1661,HS,50,5,3,10,40,1,645,"0,00299119949",120,7,3,1,"2,06122449",3,1,"2,081632653","0,1","32,69230769",92,46,645,"199,0018748","0,00299119949"
1662,RS,50,5,3,10,40,1,1635,"0,01547384262",120,7,3,1,"2,06122449",3,1,"2,081632653","0,1","32,69230769",92,46,1635,"199,0018748","0,01547384262"
1663,SAA,50,5,3,10,40,1,659,"0,00897502899",116,7,3,1,2,3,1,"1,979591837","0,1","38,46153846",88,44,659,"381,4529105","0,00897502899"
1664,HS,50,5,3,10,40,1,431,"0,00498580933",116,7,3,1,2,3,1,"1,979591837","0,1","38,46153846",88,44,431,"381,4529105","0,00498580933"
1665,RS,50,5,3,10,40,1,1108,"0,00698328018",116,7,3,1,2,3,1,"1,979591837","0,1","38,46153846",88,44,1108,"378,9857228","0,00698328018"
1666,SAA,50,5,3,10,40,1,1496,"0,01595830917",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","44,23076923",84,42,1496,"344,0823631","0,01595830917"
1667,HS,50,5,3,10,40,1,1090,"0,0049841404",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","44,23076923",84,42,1090,"344,0823631","0,0049841404"
1668,RS,50,5,3,10,40,1,7776,"0,08876204491",124,7,3,1,"2,142857143",3,1,"2,183673469","0,1","44,23076923",84,42,7776,"344,0750066","0,08876204491"
1669,SAA,50,5,3,10,40,1,902,"0,01628232002",118,7,3,1,"2,081632653",3,1,"2,06122449","0,1","40,38461538",92,46,902,"179,989565","0,01628232002"
1670,HS,50,5,3,10,40,1,603,"0,00897574425",118,7,3,1,"2,081632653",3,1,"2,06122449","0,1","40,38461538",92,46,603,"179,989565","0,00897574425"
1671,RS,50,5,3,10,40,1,1740,"0,02593111992",118,7,3,1,"2,081632653",3,1,"2,06122449","0,1","40,38461538",92,46,1740,"178,6170277","0,02593111992"
1672,SAA,50,5,3,10,40,1,1124,"0,01695466042",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","40,38461538",86,43,1124,"218,4352859","0,01695466042"
1673,HS,50,5,3,10,40,1,748,"0,01296544075",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","40,38461538",86,43,748,"218,4352859","0,01296544075"
1674,RS,50,5,3,10,40,1,2481,"0,02194046974",118,7,3,1,"2,020408163",3,1,"2,06122449","0,1","40,38461538",86,43,2481,"218,4352859","0,02194046974"
1675,SAA,50,5,3,10,40,1,919,"0,006980896",119,7,3,1,"2,020408163",3,1,"2,06122449","0,1","26,92307692",82,41,919,"281,5594397","0,006980896"
1676,HS,50,5,3,10,40,1,549,"0,00698041916",119,7,3,1,"2,020408163",3,1,"2,06122449","0,1","26,92307692",82,41,549,"281,5594397","0,00698041916"
1677,RS,50,5,3,10,40,1,685,"0,01196813583",119,7,3,1,"2,020408163",3,1,"2,06122449","0,1","26,92307692",82,41,685,"281,5594397","0,01196813583"
1678,SAA,50,5,3,10,40,1,1294,"0,01495790482",127,7,3,1,"2,204081633",3,1,"2,265306122","0,1","42,30769231",86,43,1294,"229,672297","0,01495790482"
1679,HS,50,5,3,10,40,1,877,"0,00997304916",127,7,3,1,"2,204081633",3,1,"2,265306122","0,1","42,30769231",86,43,877,"229,672297","0,00997304916"
1680,RS,50,5,3,10,40,1,1865,"0,01795315742",127,7,3,1,"2,204081633",3,1,"2,265306122","0,1","42,30769231",86,43,1865,"228,7578698","0,01795315742"
1681,SAA,50,5,3,10,40,2,1457,"0,01495957375",121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","42,30769231",132,44,1457,"295,3545053","0,01495957375"
1682,HS,50,5,3,10,40,2,1388,"0,02992033958",121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","42,30769231",132,44,1388,"295,3545053","0,02992033958"
1683,RS,50,5,3,10,40,2,3306,"0,02892279625",121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","42,30769231",132,44,3306,"295,3545053","0,02892279625"
1684,SAA,50,5,3,10,40,2,1086,"0,01595759392",117,7,3,1,"2,020408163",3,1,"2,040816327","0,1","32,69230769",129,43,1086,"395,8800903","0,01595759392"
1685,HS,50,5,3,10,40,2,687,"0,00399065018",117,7,3,1,"2,020408163",3,1,"2,040816327","0,1","32,69230769",129,43,687,"395,8800903","0,00399065018"
1686,RS,50,5,3,10,40,2,1357,"0,01196980476",117,7,3,1,"2,020408163",3,1,"2,040816327","0,1","32,69230769",129,43,1357,"395,8800903","0,01196980476"
1687,SAA,50,5,3,10,40,2,750,"0,00698184967",115,7,3,1,"1,93877551",3,1,"1,897959184","0,1","51,92307692",129,43,750,"462,649072","0,00698184967"
1688,HS,50,5,3,10,40,2,640,"0,00598287582",115,7,3,1,"1,93877551",3,1,"1,897959184","0,1","51,92307692",129,43,640,"462,649072","0,00598287582"
1689,RS,50,5,3,10,40,2,1950,"0,01496362686",115,7,3,1,"1,93877551",3,1,"1,897959184","0,1","51,92307692",129,43,1950,"462,649072","0,01496362686"
1690,SAA,50,5,3,10,40,2,681,"0,00299072266",118,7,3,1,"2,020408163",3,1,"2,102040816","0,1","44,23076923",123,41,681,"179,0516486","0,00299072266"
1691,HS,50,5,3,10,40,2,532,"0,00498771667",118,7,3,1,"2,020408163",3,1,"2,102040816","0,1","44,23076923",123,41,532,"179,0516486","0,00498771667"
1692,RS,50,5,3,10,40,2,1231,"0,00850248337",118,7,3,1,"2,020408163",3,1,"2,102040816","0,1","44,23076923",123,41,1231,"179,0516486","0,00850248337"
1693,SAA,50,5,3,10,40,2,993,"0,0126144886",113,7,3,1,"1,857142857",3,1,"1,959183673","0,1","42,30769231",111,37,993,"174,6881241","0,0126144886"
1694,HS,50,5,3,10,40,2,697,"0,00199580193",113,7,3,1,"1,857142857",3,1,"1,959183673","0,1","42,30769231",111,37,697,"174,6881241","0,00199580193"
1695,RS,50,5,3,10,40,2,1668,"0,0069797039",113,7,3,1,"1,857142857",3,1,"1,959183673","0,1","42,30769231",111,37,1668,"166,3777798","0,0069797039"
1696,SAA,50,5,3,10,40,2,1291,"0,01196742058",121,7,3,1,"2,06122449",3,1,"2,12244898","0,1","40,38461538",114,38,1291,"234,7658806","0,01196742058"
1697,HS,50,5,3,10,40,2,929,"0,00991249084",121,7,3,1,"2,06122449",3,1,"2,12244898","0,1","40,38461538",114,38,929,"234,7658806","0,00991249084"
1698,RS,50,5,3,10,40,2,2221,"0,02966141701",121,7,3,1,"2,06122449",3,1,"2,12244898","0,1","40,38461538",114,38,2221,"234,7658806","0,02966141701"
1699,SAA,50,5,3,10,40,2,1219,"0,00959658623",126,8,3,1,"2,224489796",3,1,"2,142857143","0,1","32,69230769",126,42,1219,"471,5991663","0,00959658623"
1700,HS,50,5,3,10,40,2,692,"0,00798082352",126,8,3,1,"2,224489796",3,1,"2,142857143","0,1","32,69230769",126,42,692,"471,5991663","0,00798082352"
1701,RS,50,5,3,10,40,2,994,"0,014960289",126,8,3,1,"2,224489796",3,1,"2,142857143","0,1","32,69230769",126,42,994,"471,5991663","0,014960289"
1702,SAA,50,5,3,10,40,2,1558,"0,01296544075",123,7,3,1,"2,102040816",3,1,"2,224489796","0,1","34,61538462",144,48,1558,"267,2832458","0,01296544075"
1703,HS,50,5,3,10,40,2,754,"0,00227499008",123,7,3,1,"2,102040816",3,1,"2,224489796","0,1","34,61538462",144,48,754,"267,2832458","0,00227499008"
1704,RS,50,5,3,10,40,2,1907,"0,01348805428",123,7,3,1,"2,102040816",3,1,"2,224489796","0,1","34,61538462",144,46,1907,"265,0811007","0,01348805428"
1705,SAA,50,5,3,10,40,2,1261,"0,00598430634",119,7,3,1,"2,142857143",3,1,"2,06122449","0,1","38,46153846",123,41,1261,"317,0896957","0,00598430634"
1706,HS,50,5,3,10,40,2,808,"0,00502181053",119,7,3,1,"2,142857143",3,1,"2,06122449","0,1","38,46153846",123,41,808,"317,0896957","0,00502181053"
1707,RS,50,5,3,10,40,2,3140,"0,01894760132",119,7,3,1,"2,142857143",3,1,"2,06122449","0,1","38,46153846",123,41,3140,"315,4058465","0,01894760132"
1708,SAA,50,5,3,10,40,2,826,"0,00137805939",118,8,3,1,"1,979591837",3,1,"2,081632653","0,1","46,15384615",120,40,826,"246,8804589","0,00137805939"
1709,HS,50,5,3,10,40,2,551,0,118,8,3,1,"1,979591837",3,1,"2,081632653","0,1","46,15384615",120,40,551,"246,8804589",0
1710,RS,50,5,3,10,40,2,1182,"0,00504231453",118,8,3,1,"1,979591837",3,1,"2,081632653","0,1","46,15384615",120,40,1182,"246,8804589","0,00504231453"
1711,SAA,50,5,3,10,60,1,986,0,108,7,3,1,"1,795918367",3,1,"1,836734694","0,1","59,61538462",82,41,986,"175,0949871",0
1712,HS,50,5,3,10,60,1,777,"0,01005673409",108,7,3,1,"1,795918367",3,1,"1,836734694","0,1","59,61538462",82,41,777,"175,0949871","0,01005673409"
1713,RS,50,5,3,10,60,1,2097,"0,00997281075",108,7,3,1,"1,795918367",3,1,"1,836734694","0,1","59,61538462",82,41,2097,"175,0949871","0,00997281075"
1714,SAA,50,5,3,10,60,1,2948,"0,01492667198",118,8,3,1,"2,020408163",3,1,"2,102040816","0,1","61,53846154",84,42,2948,"93,00432635","0,01492667198"
1715,HS,50,5,3,10,60,1,2177,"0,00201630592",118,8,3,1,"2,020408163",3,1,"2,102040816","0,1","61,53846154",84,42,2177,"93,00432635","0,00201630592"
1716,RS,50,5,3,10,60,1,6303,"0,03991913795",118,8,3,1,"2,020408163",3,1,"2,102040816","0,1","61,53846154",84,42,6303,"93,00432635","0,03991913795"
1717,SAA,50,5,3,10,60,1,1064,"0,00598216057",118,7,3,1,"2,06122449",3,1,"2,040816327","0,1","59,61538462",82,41,1064,"295,5060625","0,00598216057"
1718,HS,50,5,3,10,60,1,893,0,118,7,3,1,"2,06122449",3,1,"2,040816327","0,1","59,61538462",82,41,893,"295,5060625",0
1719,RS,50,5,3,10,60,1,2856,"0,01595711708",118,7,3,1,"2,06122449",3,1,"2,040816327","0,1","59,61538462",82,41,2856,"295,5060625","0,01595711708"
1720,SAA,50,5,3,10,60,1,1417,0,117,8,3,1,"2,102040816",3,1,"2,020408163","0,1","51,92307692",90,45,1417,"226,4173506",0
1721,HS,50,5,3,10,60,1,998,"0,00457549095",117,8,3,1,"2,102040816",3,1,"2,020408163","0,1","51,92307692",90,45,998,"226,4173506","0,00457549095"
1722,RS,50,5,3,10,60,1,2462,"0,01582956314",117,8,3,1,"2,102040816",3,1,"2,020408163","0,1","51,92307692",90,45,2462,"226,4164695","0,01582956314"
1723,SAA,50,5,3,10,60,1,1275,"0,01332712173",120,7,3,1,"2,040816327",3,1,"2,06122449","0,1",50,72,36,1275,"172,3056187","0,01332712173"
1724,HS,50,5,3,10,60,1,914,"0,00601553917",120,7,3,1,"2,040816327",3,1,"2,06122449","0,1",50,72,36,914,"172,3056187","0,00601553917"
1725,RS,50,5,3,10,60,1,1862,"0,01499342918",120,7,3,1,"2,040816327",3,1,"2,06122449","0,1",50,72,36,1862,"172,3056187","0,01499342918"
1726,SAA,50,5,3,10,60,1,1410,"0,00607299805",118,8,3,1,"1,979591837",3,1,"2,102040816","0,1","65,38461538",84,42,1410,"124,5923975","0,00607299805"
1727,HS,50,5,3,10,60,1,1207,"0,00352120399",118,8,3,1,"1,979591837",3,1,"2,102040816","0,1","65,38461538",84,42,1207,"124,5923975","0,00352120399"
1728,RS,50,5,3,10,60,1,6449,"0,04011368752",118,8,3,1,"1,979591837",3,1,"2,102040816","0,1","65,38461538",84,42,6449,"116,2497858","0,04011368752"
1729,SAA,50,5,3,10,60,1,1387,"0,00626802444",113,7,3,1,2,3,1,"1,87755102","0,1","53,84615385",90,45,1387,"264,3790178","0,00626802444"
1730,HS,50,5,3,10,60,1,996,"0,00840210915",113,7,3,1,2,3,1,"1,87755102","0,1","53,84615385",90,45,996,"264,3790178","0,00840210915"
1731,RS,50,5,3,10,60,1,2832,"0,01396250725",113,7,3,1,2,3,1,"1,87755102","0,1","53,84615385",90,45,2832,"264,3790178","0,01396250725"
1732,SAA,50,5,3,10,60,1,1547,"0,01495981216",120,7,3,1,"2,020408163",3,1,"2,12244898","0,1","55,76923077",84,42,1547,"115,1537088","0,01495981216"
1733,HS,50,5,3,10,60,1,996,"0,00402188301",120,7,3,1,"2,020408163",3,1,"2,12244898","0,1","55,76923077",84,42,996,"115,1537088","0,00402188301"
1734,RS,50,5,3,10,60,1,3164,"0,01794481277",120,7,3,1,"2,020408163",3,1,"2,12244898","0,1","55,76923077",84,42,3164,"115,1537088","0,01794481277"
1735,SAA,50,5,3,10,60,1,969,"0,00602054596",122,7,3,1,"2,020408163",3,1,"2,183673469","0,1","48,07692308",92,46,969,"296,9356899","0,00602054596"
1736,HS,50,5,3,10,60,1,687,"0,00299358368",122,7,3,1,"2,020408163",3,1,"2,183673469","0,1","48,07692308",92,46,687,"296,9356899","0,00299358368"
1737,RS,50,5,3,10,60,1,3761,"0,02012777328",122,7,3,1,"2,020408163",3,1,"2,183673469","0,1","48,07692308",92,46,3761,"296,9287845","0,02012777328"
1738,SAA,50,5,3,10,60,1,1712,"0,01033449173",117,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",90,45,1712,"144,5553843","0,01033449173"
1739,HS,50,5,3,10,60,1,1381,"0,00405597687",117,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",90,45,1381,"144,5553843","0,00405597687"
1740,RS,50,5,3,10,60,1,3164,"0,02482008934",117,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",90,45,3164,"141,621515","0,02482008934"
1741,SAA,50,5,3,10,60,2,2008,"0,00997519493",119,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",99,33,2008,"73,71054718","0,00997519493"
1742,HS,50,5,3,10,60,2,1636,"0,00609779358",119,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",99,33,1636,"73,71054718","0,00609779358"
1743,RS,50,5,3,10,60,2,4041,"0,02013874054",119,7,3,1,2,3,1,"2,020408163","0,1","67,30769231",99,33,4041,"73,71054718","0,02013874054"
1744,SAA,50,5,3,10,60,2,1347,"0,01032614708",121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","53,84615385",120,40,1347,"219,2241258","0,01032614708"
1745,HS,50,5,3,10,60,2,1074,0,121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","53,84615385",120,40,1074,"219,2241258",0
1746,RS,50,5,3,10,60,2,4959,"0,02513456345",121,7,3,1,"2,06122449",3,1,"2,183673469","0,1","53,84615385",120,40,4959,"219,1856533","0,02513456345"
1747,SAA,50,5,3,10,60,2,1347,"0,00961685181",121,7,3,1,"2,102040816",3,1,"2,102040816","0,1","59,61538462",120,40,1347,"144,328646","0,00961685181"
1748,HS,50,5,3,10,60,2,1020,0,121,7,3,1,"2,102040816",3,1,"2,102040816","0,1","59,61538462",120,40,1020,"144,328646",0
1749,RS,50,5,3,10,60,2,5561,"0,03484010696",121,7,3,1,"2,102040816",3,1,"2,102040816","0,1","59,61538462",120,40,5561,"141,2393701","0,03484010696"
1750,SAA,50,5,3,10,60,2,2074,"0,0100672245",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","67,30769231",135,45,2074,"130,6908273","0,0100672245"
1751,HS,50,5,3,10,60,2,1897,"0,00964379311",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","67,30769231",135,45,1897,"130,6908273","0,00964379311"
1752,RS,50,5,3,10,60,2,6159,"0,02479219437",121,7,3,1,"2,142857143",3,1,"2,142857143","0,1","67,30769231",135,45,6159,"130,6908273","0,02479219437"
1753,SAA,50,5,3,10,60,2,660,"0,00506687164",115,7,3,1,"1,918367347",3,1,"2,040816327","0,1","53,84615385",129,43,660,"202,3146584","0,00506687164"
