;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
30;['50', '10', '2', '10', '0'];dg1.tpf;SAA;50;10;2;10;0;2;52;98;7;2;1;1.530612244897959;2;1;1.5918367346938775;0.1;0.0;138;46;94;743.974314539104;0.0009982585906982422
31;['50', '10', '2', '10', '0'];dg1.tpf;HS;50;10;2;10;0;2;52;98;7;2;1;1.530612244897959;2;1;1.5918367346938775;0.1;0.0;138;46;52;743.974314539104;0.0
32;['50', '10', '2', '10', '0'];dg1.tpf;RS;50;10;2;10;0;2;52;98;7;2;1;1.530612244897959;2;1;1.5918367346938775;0.1;0.0;138;46;52;743.974314539104;0.0
33;['50', '10', '2', '10', '0'];dg10.tpf;SAA;50;10;2;10;0;2;52;94;8;2;1;1.5918367346938775;2;1;1.6122448979591837;0.1;0.0;183;61;126;611.8981137740742;0.007998228073120117
34;['50', '10', '2', '10', '0'];dg10.tpf;HS;50;10;2;10;0;2;52;94;8;2;1;1.5918367346938775;2;1;1.6122448979591837;0.1;0.0;183;61;52;611.8981137740742;0.0
35;['50', '10', '2', '10', '0'];dg10.tpf;RS;50;10;2;10;0;2;52;94;8;2;1;1.5918367346938775;2;1;1.6122448979591837;0.1;0.0;183;61;52;611.8981137740742;0.008059263229370117
36;['50', '10', '2', '10', '0'];dg2.tpf;SAA;50;10;2;10;0;2;52;97;8;2;1;1.5714285714285714;2;1;1.653061224489796;0.1;0.0;147;49;110;599.4789268737245;0.0011119842529296875
37;['50', '10', '2', '10', '0'];dg2.tpf;HS;50;10;2;10;0;2;52;97;8;2;1;1.5714285714285714;2;1;1.653061224489796;0.1;0.0;147;49;52;599.4789268737245;0.0
38;['50', '10', '2', '10', '0'];dg2.tpf;RS;50;10;2;10;0;2;52;97;8;2;1;1.5714285714285714;2;1;1.653061224489796;0.1;0.0;147;49;52;599.4789268737245;0.0
39;['50', '10', '2', '10', '0'];dg3.tpf;SAA;50;10;2;10;0;2;52;96;8;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;156;52;107;672.1954633655255;0.0
40;['50', '10', '2', '10', '0'];dg3.tpf;HS;50;10;2;10;0;2;52;96;8;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;156;52;52;672.1954633655255;0.0
41;['50', '10', '2', '10', '0'];dg3.tpf;RS;50;10;2;10;0;2;52;96;8;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;156;52;52;672.1954633655255;0.0
42;['50', '10', '2', '10', '0'];dg4.tpf;SAA;50;10;2;10;0;2;52;95;7;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;150;50;106;683.4883364743059;0.0
43;['50', '10', '2', '10', '0'];dg4.tpf;HS;50;10;2;10;0;2;52;95;7;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;150;50;52;683.4883364743059;0.0
44;['50', '10', '2', '10', '0'];dg4.tpf;RS;50;10;2;10;0;2;52;95;7;2;1;1.5510204081632653;2;1;1.5714285714285714;0.1;0.0;150;50;52;683.4883364743059;0.0
