id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
110,HS,50,10,2,10,100,2,2052,"0,01562237740"
111,RS,50,10,2,10,100,2,8713,"0,06899762154"
112,SAA,50,10,2,10,100,2,2154,"0,00000000000"
113,HS,50,10,2,10,100,2,2064,"0,01562929153"
114,RS,50,10,2,10,100,2,6904,"0,04686379433"
115,SAA,50,10,2,10,100,2,2227,"0,00000000000"
116,HS,50,10,2,10,100,2,2126,"0,01562237740"
117,RS,50,10,2,10,100,2,6748,"0,05336904526"
118,SAA,50,10,2,10,100,2,2233,"0,01561880112"
119,HS,50,10,2,10,100,2,2106,"0,01562142372"
120,RS,50,10,2,10,100,2,14935,"0,11868119240"
121,SAA,50,10,2,10,20,1,559,"0,00299191475"
122,HS,50,10,2,10,20,1,331,"0,00099730492"
123,RS,50,10,2,10,20,1,534,"0,00398755074"
124,SAA,50,10,2,10,20,1,292,"0,00199460983"
125,HS,50,10,2,10,20,1,153,"0,00099802017"
126,RS,50,10,2,10,20,1,295,"0,00398945808"
127,SAA,50,10,2,10,20,1,1018,"0,00997304916"
128,HS,50,10,2,10,20,1,407,"0,00299239159"
129,RS,50,10,2,10,20,1,517,"0,00199365616"
130,SAA,50,10,2,10,20,1,672,"0,00897359848"
131,HS,50,10,2,10,20,1,286,"0,00199723244"
132,RS,50,10,2,10,20,1,357,"0,00099635124"
133,SAA,50,10,2,10,20,1,423,"0,00997066498"
134,HS,50,10,2,10,20,1,170,"0,00099849701"
135,RS,50,10,2,10,20,1,142,"0,00199460983"
136,SAA,50,10,2,10,20,1,894,"0,00598406792"
137,HS,50,10,2,10,20,1,369,"0,00498652458"
138,RS,50,10,2,10,20,1,632,"0,00598359108"
139,SAA,50,10,2,10,20,1,435,"0,00598144531"
140,HS,50,10,2,10,20,1,191,"0,00299215317"
141,RS,50,10,2,10,20,1,174,"0,00199341774"
142,SAA,50,10,2,10,20,1,312,"0,00199413300"
143,HS,50,10,2,10,20,1,161,"0,00099754333"
144,RS,50,10,2,10,20,1,255,"0,00299310684"
145,SAA,50,10,2,10,20,1,527,"0,00498652458"
146,HS,50,10,2,10,20,1,234,"0,00099730492"
147,RS,50,10,2,10,20,1,285,"0,00199365616"
148,SAA,50,10,2,10,20,1,347,"0,00398993492"
149,HS,50,10,2,10,20,1,176,"0,00199460983"
150,RS,50,10,2,10,20,1,337,"0,00199341774"
151,SAA,50,10,2,10,20,2,458,"0,00398826599"
152,HS,50,10,2,10,20,2,211,"0,00299406052"
153,RS,50,10,2,10,20,2,242,"0,00199341774"
154,SAA,50,10,2,10,20,2,495,"0,00351119041"
155,HS,50,10,2,10,20,2,216,"0,00000000000"
156,RS,50,10,2,10,20,2,235,"0,00000000000"
157,SAA,50,10,2,10,20,2,298,"0,00000000000"
158,HS,50,10,2,10,20,2,128,"0,00000000000"
159,RS,50,10,2,10,20,2,249,"0,00000000000"
160,SAA,50,10,2,10,20,2,455,"0,00000000000"
161,HS,50,10,2,10,20,2,191,"0,00000000000"
162,RS,50,10,2,10,20,2,265,"0,00000000000"
163,SAA,50,10,2,10,20,2,481,"0,00000000000"
164,HS,50,10,2,10,20,2,254,"0,00000000000"
165,RS,50,10,2,10,20,2,410,"0,01562261581"
166,SAA,50,10,2,10,20,2,502,"0,00000000000"
167,HS,50,10,2,10,20,2,226,"0,00000000000"
168,RS,50,10,2,10,20,2,363,"0,00000000000"
169,SAA,50,10,2,10,20,2,943,"0,01561951637"
170,HS,50,10,2,10,20,2,443,"0,00000000000"
171,RS,50,10,2,10,20,2,979,"0,00000000000"
172,SAA,50,10,2,10,20,2,263,"0,00000000000"
173,HS,50,10,2,10,20,2,112,"0,00000000000"
174,RS,50,10,2,10,20,2,128,"0,00099682808"
175,SAA,50,10,2,10,20,2,561,"0,01562404633"
176,HS,50,10,2,10,20,2,302,"0,01562023163"
177,RS,50,10,2,10,20,2,554,"0,01562285423"
178,SAA,50,10,2,10,20,2,497,"0,00000000000"
179,HS,50,10,2,10,20,2,276,"0,00000000000"
180,RS,50,10,2,10,20,2,502,"0,00000000000"
181,SAA,50,10,2,10,40,1,1100,"0,01562166214"
182,HS,50,10,2,10,40,1,726,"0,00000000000"
183,RS,50,10,2,10,40,1,884,"0,00000000000"
184,SAA,50,10,2,10,40,1,1088,"0,00000000000"
185,HS,50,10,2,10,40,1,731,"0,01562643051"
186,RS,50,10,2,10,40,1,3053,"0,01561999321"
187,SAA,50,10,2,10,40,1,728,"0,01562166214"
188,HS,50,10,2,10,40,1,503,"0,01562118530"
189,RS,50,10,2,10,40,1,1556,"0,01562023163"
190,SAA,50,10,2,10,40,1,882,"0,01296615601"
191,HS,50,10,2,10,40,1,539,"0,00598526001"
192,RS,50,10,2,10,40,1,1157,"0,00797843933"
193,SAA,50,10,2,10,40,1,792,"0,00498676300"
194,HS,50,10,2,10,40,1,555,"0,00000000000"
195,RS,50,10,2,10,40,1,1092,"0,01562213898"
196,SAA,50,10,2,10,40,1,1107,"0,02249193192"
197,HS,50,10,2,10,40,1,642,"0,00000000000"
198,RS,50,10,2,10,40,1,1374,"0,00000000000"
199,SAA,50,10,2,10,40,1,1099,"0,00000000000"
200,HS,50,10,2,10,40,1,824,"0,00000000000"
201,RS,50,10,2,10,40,1,2907,"0,01562666893"
202,SAA,50,10,2,10,40,1,814,"0,01562237740"
203,HS,50,10,2,10,40,1,579,"0,00000000000"
204,RS,50,10,2,10,40,1,1171,"0,00000000000"
205,SAA,50,10,2,10,40,1,668,"0,01562237740"
206,HS,50,10,2,10,40,1,432,"0,00000000000"
207,RS,50,10,2,10,40,1,904,"0,00797939301"
208,SAA,50,10,2,10,40,1,1317,"0,00000000000"
209,HS,50,10,2,10,40,1,642,"0,01562237740"
210,RS,50,10,2,10,40,1,1453,"0,01501107216"
211,SAA,50,10,2,10,40,2,601,"0,01562190056"
212,HS,50,10,2,10,40,2,335,"0,00000000000"
213,RS,50,10,2,10,40,2,574,"0,00000000000"
214,SAA,50,10,2,10,40,2,691,"0,01562786102"
215,HS,50,10,2,10,40,2,410,"0,00000000000"
216,RS,50,10,2,10,40,2,725,"0,01562166214"
217,SAA,50,10,2,10,40,2,675,"0,00000000000"
218,HS,50,10,2,10,40,2,461,"0,00000000000"
219,RS,50,10,2,10,40,2,910,"0,00000000000"
220,SAA,50,10,2,10,40,2,772,"0,01563286781"
221,HS,50,10,2,10,40,2,395,"0,00000000000"
222,RS,50,10,2,10,40,2,850,"0,00000000000"
223,SAA,50,10,2,10,40,2,663,"0,00000000000"
224,HS,50,10,2,10,40,2,449,"0,00000000000"
225,RS,50,10,2,10,40,2,1468,"0,00000000000"
226,SAA,50,10,2,10,40,2,793,"0,01562142372"
227,HS,50,10,2,10,40,2,576,"0,01563167572"
228,RS,50,10,2,10,40,2,1845,"0,01562309265"
229,SAA,50,10,2,10,40,2,666,"0,01562261581"
230,HS,50,10,2,10,40,2,473,"0,00000000000"
231,RS,50,10,2,10,40,2,1139,"0,00000000000"
232,SAA,50,10,2,10,40,2,778,"0,00000000000"
233,HS,50,10,2,10,40,2,574,"0,00650906563"
234,RS,50,10,2,10,40,2,905,"0,00000000000"
235,SAA,50,10,2,10,40,2,761,"0,01562166214"
236,HS,50,10,2,10,40,2,396,"0,00000000000"
237,RS,50,10,2,10,40,2,792,"0,00000000000"
238,SAA,50,10,2,10,40,2,1218,"0,00000000000"
239,HS,50,10,2,10,40,2,839,"0,00000000000"
240,RS,50,10,2,10,40,2,2220,"0,01562428474"
241,SAA,50,10,2,10,60,1,1255,"0,00000000000"
242,HS,50,10,2,10,60,1,1049,"0,00000000000"
243,RS,50,10,2,10,60,1,3037,"0,03174805641"
244,SAA,50,10,2,10,60,1,1102,"0,01562690735"
245,HS,50,10,2,10,60,1,783,"0,00000000000"
246,RS,50,10,2,10,60,1,2125,"0,01562237740"
247,SAA,50,10,2,10,60,1,982,"0,01562881470"
248,HS,50,10,2,10,60,1,658,"0,00000000000"
249,RS,50,10,2,10,60,1,1081,"0,00000000000"
250,SAA,50,10,2,10,60,1,896,"0,00000000000"
251,HS,50,10,2,10,60,1,555,"0,00000000000"
