batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
"['160', '5', '2', '10', '0', '1']",dg1.tpf,SAA,160,5,2,10,0,1,162,302,8,2,1,1.509433962264151,2,1,1.559748427672956,0.1,0.0,92,46,304,2110.761913212605,0.0
"['160', '5', '2', '10', '0', '1']",dg1.tpf,HS,160,5,2,10,0,1,162,302,8,2,1,1.509433962264151,2,1,1.559748427672956,0.1,0.0,92,46,162,2110.761913212605,0.0
"['160', '5', '2', '10', '0', '1']",dg10.tpf,SAA,160,5,2,10,0,1,162,306,8,2,1,1.5660377358490567,2,1,1.5849056603773586,0.1,0.0,78,39,292,2040.9315292337799,0.0
"['160', '5', '2', '10', '0', '1']",dg10.tpf,HS,160,5,2,10,0,1,162,306,8,2,1,1.5660377358490567,2,1,1.5849056603773586,0.1,0.0,78,39,162,2040.9315292337799,0.0
"['160', '5', '2', '10', '0', '1']",dg11.tpf,SAA,160,5,2,10,0,1,162,300,8,2,1,1.5157232704402517,2,1,1.528301886792453,0.1,0.0,82,41,297,2016.9417484575954,0.0
"['160', '5', '2', '10', '0', '1']",dg11.tpf,HS,160,5,2,10,0,1,162,300,8,2,1,1.5157232704402517,2,1,1.528301886792453,0.1,0.0,82,41,162,2016.9417484575954,0.0
"['160', '5', '2', '10', '0', '1']",dg12.tpf,SAA,160,5,2,10,0,1,162,298,9,2,1,1.5534591194968554,2,1,1.528301886792453,0.1,0.0,82,41,310,1619.0453389456707,0.0
"['160', '5', '2', '10', '0', '1']",dg12.tpf,HS,160,5,2,10,0,1,162,298,9,2,1,1.5534591194968554,2,1,1.528301886792453,0.1,0.0,82,41,162,1619.0453389456707,0.0
"['160', '5', '2', '10', '0', '1']",dg13.tpf,SAA,160,5,2,10,0,1,162,298,8,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,94,47,308,2082.2975301828233,0.0
"['160', '5', '2', '10', '0', '1']",dg13.tpf,HS,160,5,2,10,0,1,162,298,8,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,94,47,162,2082.2975301828233,0.0
"['160', '5', '2', '10', '0', '1']",dg14.tpf,SAA,160,5,2,10,0,1,162,304,7,2,1,1.5534591194968554,2,1,1.5408805031446542,0.1,0.0,76,38,285,2310.154336417307,0.0
"['160', '5', '2', '10', '0', '1']",dg14.tpf,HS,160,5,2,10,0,1,162,304,7,2,1,1.5534591194968554,2,1,1.5408805031446542,0.1,0.0,76,38,162,2310.154336417307,0.0
"['160', '5', '2', '10', '0', '1']",dg15.tpf,SAA,160,5,2,10,0,1,162,303,8,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,84,42,304,2099.5353055850796,0.016917705535888672
"['160', '5', '2', '10', '0', '1']",dg15.tpf,HS,160,5,2,10,0,1,162,303,8,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,84,42,162,2099.5353055850796,0.0
"['160', '5', '2', '10', '0', '1']",dg16.tpf,SAA,160,5,2,10,0,1,162,304,8,2,1,1.5471698113207548,2,1,1.5723270440251573,0.1,0.0,82,41,302,2114.407710155185,0.022652864456176758
"['160', '5', '2', '10', '0', '1']",dg16.tpf,HS,160,5,2,10,0,1,162,304,8,2,1,1.5471698113207548,2,1,1.5723270440251573,0.1,0.0,82,41,162,2114.407710155185,0.01703333854675293
"['160', '5', '2', '10', '0', '1']",dg17.tpf,SAA,160,5,2,10,0,1,162,303,7,2,1,1.5157232704402517,2,1,1.5031446540880504,0.1,0.0,76,38,281,2376.4844464757807,0.0
"['160', '5', '2', '10', '0', '1']",dg17.tpf,HS,160,5,2,10,0,1,162,303,7,2,1,1.5157232704402517,2,1,1.5031446540880504,0.1,0.0,76,38,162,2376.4844464757807,0.0
"['160', '5', '2', '10', '0', '1']",dg18.tpf,SAA,160,5,2,10,0,1,162,305,8,2,1,1.5849056603773586,2,1,1.5849056603773586,0.1,0.0,70,35,308,2227.219399936977,0.015761137008666992
"['160', '5', '2', '10', '0', '1']",dg18.tpf,HS,160,5,2,10,0,1,162,305,8,2,1,1.5849056603773586,2,1,1.5849056603773586,0.1,0.0,70,35,162,2227.219399936977,0.0
"['160', '5', '2', '10', '0', '1']",dg19.tpf,SAA,160,5,2,10,0,1,162,302,9,2,1,1.5660377358490567,2,1,1.5723270440251573,0.1,0.0,92,46,307,1899.31530388539,0.012790203094482422
"['160', '5', '2', '10', '0', '1']",dg19.tpf,HS,160,5,2,10,0,1,162,302,9,2,1,1.5660377358490567,2,1,1.5723270440251573,0.1,0.0,92,46,162,1899.31530388539,0.0
"['160', '5', '2', '10', '0', '1']",dg2.tpf,SAA,160,5,2,10,0,1,162,304,8,2,1,1.578616352201258,2,1,1.5723270440251573,0.1,0.0,90,45,304,1835.5384873448993,0.0
"['160', '5', '2', '10', '0', '1']",dg2.tpf,HS,160,5,2,10,0,1,162,304,8,2,1,1.578616352201258,2,1,1.5723270440251573,0.1,0.0,90,45,162,1835.5384873448993,0.0
"['160', '5', '2', '10', '0', '1']",dg20.tpf,SAA,160,5,2,10,0,1,162,302,7,2,1,1.528301886792453,2,1,1.5408805031446542,0.1,0.0,84,42,298,2459.3125958856735,0.0
"['160', '5', '2', '10', '0', '1']",dg20.tpf,HS,160,5,2,10,0,1,162,302,7,2,1,1.528301886792453,2,1,1.5408805031446542,0.1,0.0,84,42,162,2459.3125958856735,0.0
"['160', '5', '2', '10', '0', '1']",dg21.tpf,SAA,160,5,2,10,0,1,162,295,8,2,1,1.528301886792453,2,1,1.4779874213836477,0.1,0.0,82,41,302,2202.2496418631004,0.015631914138793945
"['160', '5', '2', '10', '0', '1']",dg21.tpf,HS,160,5,2,10,0,1,162,295,8,2,1,1.528301886792453,2,1,1.4779874213836477,0.1,0.0,82,41,162,2202.2496418631004,0.0
"['160', '5', '2', '10', '0', '1']",dg22.tpf,SAA,160,5,2,10,0,1,162,301,8,2,1,1.528301886792453,2,1,1.5534591194968554,0.1,0.0,86,43,298,1950.91872411291,0.0
"['160', '5', '2', '10', '0', '1']",dg22.tpf,HS,160,5,2,10,0,1,162,301,8,2,1,1.528301886792453,2,1,1.5534591194968554,0.1,0.0,86,43,162,1950.91872411291,0.0
"['160', '5', '2', '10', '0', '1']",dg23.tpf,SAA,160,5,2,10,0,1,162,300,9,2,1,1.5220125786163523,2,1,1.5408805031446542,0.1,0.0,84,42,286,2104.7155621279385,0.009118318557739258
"['160', '5', '2', '10', '0', '1']",dg23.tpf,HS,160,5,2,10,0,1,162,300,9,2,1,1.5220125786163523,2,1,1.5408805031446542,0.1,0.0,84,42,162,2104.7155621279385,0.0
"['160', '5', '2', '10', '0', '1']",dg24.tpf,SAA,160,5,2,10,0,1,162,302,9,2,1,1.559748427672956,2,1,1.5345911949685536,0.1,0.0,86,43,307,2212.435307381429,0.013509035110473633
"['160', '5', '2', '10', '0', '1']",dg24.tpf,HS,160,5,2,10,0,1,162,302,9,2,1,1.559748427672956,2,1,1.5345911949685536,0.1,0.0,86,43,162,2212.435307381429,0.0
"['160', '5', '2', '10', '0', '1']",dg25.tpf,SAA,160,5,2,10,0,1,162,300,8,2,1,1.4842767295597483,2,1,1.5471698113207548,0.1,0.0,86,43,292,1914.0569122449547,0.014719486236572266
"['160', '5', '2', '10', '0', '1']",dg25.tpf,HS,160,5,2,10,0,1,162,300,8,2,1,1.4842767295597483,2,1,1.5471698113207548,0.1,0.0,86,43,162,1914.0569122449547,0.0
"['160', '5', '2', '10', '0', '1']",dg26.tpf,SAA,160,5,2,10,0,1,162,299,8,2,1,1.5345911949685536,2,1,1.509433962264151,0.1,0.0,84,42,295,2281.1772222337167,0.014726400375366211
"['160', '5', '2', '10', '0', '1']",dg26.tpf,HS,160,5,2,10,0,1,162,299,8,2,1,1.5345911949685536,2,1,1.509433962264151,0.1,0.0,84,42,162,2281.1772222337167,0.0
"['160', '5', '2', '10', '0', '1']",dg27.tpf,SAA,160,5,2,10,0,1,162,302,8,2,1,1.559748427672956,2,1,1.5534591194968554,0.1,0.0,90,45,302,2136.134682973625,0.0
"['160', '5', '2', '10', '0', '1']",dg27.tpf,HS,160,5,2,10,0,1,162,302,8,2,1,1.559748427672956,2,1,1.5534591194968554,0.1,0.0,90,45,162,2136.134682973625,0.0
"['160', '5', '2', '10', '0', '1']",dg28.tpf,SAA,160,5,2,10,0,1,162,290,9,2,1,1.509433962264151,2,1,1.4842767295597483,0.1,0.0,86,43,314,1930.4781374993581,0.0
"['160', '5', '2', '10', '0', '1']",dg28.tpf,HS,160,5,2,10,0,1,162,290,9,2,1,1.509433962264151,2,1,1.4842767295597483,0.1,0.0,86,43,162,1930.4781374993581,0.0
"['160', '5', '2', '10', '0', '1']",dg29.tpf,SAA,160,5,2,10,0,1,162,301,7,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,82,41,303,2176.3834669813214,0.0
"['160', '5', '2', '10', '0', '1']",dg29.tpf,HS,160,5,2,10,0,1,162,301,7,2,1,1.5345911949685536,2,1,1.5408805031446542,0.1,0.0,82,41,162,2176.3834669813214,0.0
"['160', '5', '2', '10', '0', '1']",dg3.tpf,SAA,160,5,2,10,0,1,162,303,9,2,1,1.5471698113207548,2,1,1.559748427672956,0.1,0.0,78,39,314,2134.8731635676304,0.010782480239868164
"['160', '5', '2', '10', '0', '1']",dg3.tpf,HS,160,5,2,10,0,1,162,303,9,2,1,1.5471698113207548,2,1,1.559748427672956,0.1,0.0,78,39,162,2134.8731635676304,0.0
"['160', '5', '2', '10', '0', '1']",dg30.tpf,SAA,160,5,2,10,0,1,162,290,7,2,1,1.471698113207547,2,1,1.4528301886792452,0.1,0.0,86,43,302,2522.267053906726,0.0
"['160', '5', '2', '10', '0', '1']",dg30.tpf,HS,160,5,2,10,0,1,162,290,7,2,1,1.471698113207547,2,1,1.4528301886792452,0.1,0.0,86,43,162,2522.267053906726,0.0
"['160', '5', '2', '10', '0', '1']",dg4.tpf,SAA,160,5,2,10,0,1,162,300,7,2,1,1.5157232704402517,2,1,1.509433962264151,0.1,0.0,90,45,287,2222.7988613782,0.0
